SUBENT        41110001   20061020   20070521   20060816       4139
BIB                 12         21
INSTITUTE  (4RUSFEI,4RUSRI)
REFERENCE  (J,YF,53,(3),628,1991)   Curves Are Given
           (J,PAN,53,(3),392,1991)
AUTHOR     (G.S.BOYKOV,V.D.DMITRIEV,G.A.KUDYAEV,YU.B.OSTAPENKO,
           M.I.SVIRIN,G.N.SMIRENKIN)
TITLE       Neutron Spectrum In The Fission Of Th-232, U-235
            And U-238 By Neutron With Energies 2.9 And 14.7 MeV
FACILITY   (VDG,4RUSRI )  Neutron Generator NG-400
INC-SOURCE (D-D,D-T)
SAMPLE      Two-sided Metallic Layers On Aluminium Foil,
            Thickness 2 milligram/cm2, Diameter 100 mm
METHOD     (TOF)
DETECTOR   (FISCH)  Four-section Multy-layer Ionization Chamber
                    Filled With Methane
           (SCIN)  Stilbene Crystal For Neutron Detecion
MONITOR    ((MONIT)98-CF-252(0,F),PR,NU)
ERR-ANALYS (ERR-T)   Total Error
HISTORY    (19921204C)  + + COMPILED AT THE CENTRE - CJD + +
           (20010311A) DATE is corrected
           (20061020U) Misprint in Reference Year was corrected.
                       Second reference was added. M.M.
ENDBIB              21
COMMON               2          3
EN-RSL     MONIT
NSEC/M     PRT/FIS
  2.5          3.766
ENDCOMMON            3
ENDSUBENT           28
SUBENT        41110009   20010311   20011019   20050926       0000
BIB                  2          4
REACTION  1((92-U-235(N,F),PR,DE,N)/(98-CF-252(0,F),PR,DE,N))
          2(92-U-235(N,F),PR,DE,N,REL)  SPECTRE IS NORMALIZED TO
                                        UNITY
STATUS     (APRVD)  SVIRIN, 921125
ENDBIB               4
NOCOMMON             0          0
DATA                 5        148
EN         E          DATA      1DATA      2ERR-T     2
MEV        MEV        NO-DIM     ARB-UNITS  PER-CENT
 14.7        1.46     0.975      0.2826        1.71
 14.7        1.54     0.972      0.2741        1.68
 14.7        1.625    0.976      0.26721       1.64
 14.7        1.72     0.959      0.25343       1.6
 14.7        1.825    0.95       0.24095       1.58
 14.7        1.94     0.95       0.22967       1.55
 14.7        2.03     0.938      0.21824       1.46
 14.7        2.095    0.923      0.20859       1.47
 14.7        2.165    0.932      0.20405       1.45
 14.7        2.235    0.935      0.19801       1.45
 14.7        2.31     0.924      0.18889       1.46
 14.7        2.39     0.91       0.17909       1.47
 14.7        2.475    0.9        0.16974       1.46
 14.7        2.565    0.89       0.16053       1.47
 14.7        2.66     0.869      0.1495        1.51
 14.7        2.76     0.864      0.14108       1.51
 14.7        2.865    0.867      0.13381       1.52
 14.7        2.975    0.868      0.12625       1.53
 14.7        3.09     0.872      0.11922       1.53
 14.7        3.215    0.869      0.11093       1.56
 14.7        3.345    0.874      0.10369       1.58
 14.7        3.485    0.871      0.09551       1.62
 14.7        3.635    0.87       0.08734       1.66
 14.7        3.79     0.881      0.08074       1.69
 14.7        3.96     0.88       0.07291       1.73
 14.7        4.14     0.877      0.06523       1.79
 14.7        4.33     0.857      0.05677       1.88
 14.7        4.54     0.886      0.05157       1.94
 14.7        4.756    0.903      0.0457        2.03
 14.7        5.005    0.941      0.0408        2.11
 14.7        5.26     0.951      0.03503       2.23
 14.7        5.535    0.923      0.0284        2.47
 14.7        5.84     0.978      0.02467       2.59
 14.7        6.17     1.003      0.02035       2.73
 14.7        6.52     1.061      0.01705       2.92
 14.7        6.9      1.086      0.01357       3.21
 14.7        7.325    1.16       0.01093       3.58
 14.7        7.79     1.283      0.00886       3.96
 14.7        8.295    1.175      0.0058        4.81
 14.7        8.855    0.849      0.00288       7.27
 14.7        9.47     0.957      0.00216       8.87
 14.7        10.15    1.009      0.00144       11.61
 14.7        10.915   0.897      0.00076       13.6
 14.7        11.77    0.698      0.00033       23.59
ENDDATA            150
ENDSUBENT          159
