# n+239Pu
# Incident Energy =   17.50000
# Particle spectrum from Pre-equilibrium emission from 240P
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199167   0.0000000E+00   0.1777465E-01   0.1644926E-11
  0.398333   0.0000000E+00   0.3275679E-01   0.1540693E-11
  0.597500   0.0000000E+00   0.4227290E-01   0.1443655E-11
  0.796667   0.0000000E+00   0.5406929E-01   0.1353316E-11
  0.995833   0.0000000E+00   0.7086237E-01   0.1269213E-11
  1.195000   0.0000000E+00   0.8679013E-01   0.1190913E-11
  1.394167   0.0000000E+00   0.9659377E-01   0.1118009E-11
  1.593333   0.0000000E+00   0.1011668E+00   0.1050124E-11
  1.792500   0.0000000E+00   0.1023152E+00   0.9869035E-12
  1.991667   0.0000000E+00   0.1012516E+00   0.9279056E-12
  2.190833   0.0000000E+00   0.9915521E-01   0.8729602E-12
  2.390000   0.0000000E+00   0.9681792E-01   0.8498723E-12
  2.589167   0.0000000E+00   0.9471367E-01   0.1187390E-11
  2.788333   0.0000000E+00   0.9287978E-01   0.3956182E-11
  2.987500   0.0000000E+00   0.9120369E-01   0.2021382E-10
  3.186667   0.0000000E+00   0.8962317E-01   0.9964125E-10
  3.385833   0.0000000E+00   0.8810535E-01   0.4318828E-09
  3.585000   0.0000000E+00   0.8665795E-01   0.1639412E-08
  3.784167   0.0000000E+00   0.8529369E-01   0.5536732E-08
  3.983333   0.0000000E+00   0.8404136E-01   0.1689212E-07
  4.182500   0.0000000E+00   0.8293556E-01   0.4715167E-07
  4.381667   0.0000000E+00   0.8199418E-01   0.1219079E-06
  4.580833   0.0000000E+00   0.8121357E-01   0.2934147E-06
  4.780000   0.0000000E+00   0.8059746E-01   0.6611152E-06
  4.979167   0.0000000E+00   0.8016970E-01   0.1407864E-05
  5.178333   0.0000000E+00   0.7992516E-01   0.2844315E-05
  5.377500   0.0000000E+00   0.7983501E-01   0.5673219E-05
  5.576667   0.0000000E+00   0.7988082E-01   0.5197049E-04
  5.775833   0.0000000E+00   0.8002498E-01   0.7752916E-04
  5.975000   0.0000000E+00   0.8020149E-01   0.1118381E-03
  6.174167   0.0000000E+00   0.8034748E-01   0.1709121E-03
  6.373333   0.0000000E+00   0.8040230E-01   0.2528684E-03
  6.572500   0.0000000E+00   0.8030435E-01   0.3863399E-03
  6.771667   0.0000000E+00   0.8002970E-01   0.5296510E-03
  6.970833   0.0000000E+00   0.7954928E-01   0.7874400E-03
  7.170000   0.0000000E+00   0.7885781E-01   0.1152204E-02
  7.369167   0.0000000E+00   0.7802023E-01   0.1649593E-02
  7.568333   0.0000000E+00   0.7701280E-01   0.2290210E-02
  7.767500   0.0000000E+00   0.7588052E-01   0.3130918E-02
  7.966667   0.0000000E+00   0.7465818E-01   0.4212082E-02
  8.165833   0.0000000E+00   0.7334062E-01   0.5555357E-02
  8.365000   0.0000000E+00   0.7198338E-01   0.7243273E-02
  8.564167   0.0000000E+00   0.7058741E-01   0.9327354E-02
  8.763333   0.0000000E+00   0.6915992E-01   0.1186962E-01
  8.962500   0.0000000E+00   0.6772627E-01   0.1490986E-01
  9.161667   0.0000000E+00   0.6628629E-01   0.1850650E-01
  9.360833   0.0000000E+00   0.6484714E-01   0.2271093E-01
  9.560000   0.0000000E+00   0.6342527E-01   0.2758907E-01
  9.759167   0.0000000E+00   0.6201680E-01   0.3318452E-01
  9.958333   0.0000000E+00   0.6062187E-01   0.3953844E-01
 10.157500   0.0000000E+00   0.5924119E-01   0.4666226E-01
 10.356667   0.0000000E+00   0.5787058E-01   0.5455887E-01
 10.555833   0.0000000E+00   0.5650583E-01   0.6324752E-01
 10.755000   0.0000000E+00   0.5514339E-01   0.7271553E-01
 10.954167   0.0000000E+00   0.5377757E-01   0.8276618E-01
 11.153333   0.0000000E+00   0.5240246E-01   0.9341059E-01
 11.352500   0.0000000E+00   0.5101334E-01   0.1045644E+00
 11.551667   0.0000000E+00   0.4960730E-01   0.1160680E+00
 11.750833   0.0000000E+00   0.4818339E-01   0.1276009E+00
 11.950000   0.0000000E+00   0.4673515E-01   0.1391259E+00
 12.149167   0.0000000E+00   0.4525965E-01   0.1504840E+00
 12.348333   0.0000000E+00   0.4375772E-01   0.1614585E+00
 12.547500   0.0000000E+00   0.4223769E-01   0.1716682E+00
 12.746667   0.0000000E+00   0.4069004E-01   0.1810624E+00
 12.945833   0.0000000E+00   0.3911364E-01   0.1894702E+00
 13.145000   0.0000000E+00   0.3750758E-01   0.1967376E+00
 13.344167   0.0000000E+00   0.3589009E-01   0.2026656E+00
 13.543333   0.0000000E+00   0.3424978E-01   0.2071403E+00
 13.742500   0.0000000E+00   0.3258380E-01   0.2100529E+00
 13.941667   0.0000000E+00   0.3089097E-01   0.2113093E+00
 14.140833   0.0000000E+00   0.2917328E-01   0.2108974E+00
 14.340000   0.0000000E+00   0.2743674E-01   0.2089002E+00
