E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.105925 0.222270 0.023016 10.355100
0.118851 0.225535 0.021283 9.436750
0.133353 0.232442 0.019892 8.557910
0.149624 0.253097 0.020102 7.942580
0.167880 0.266263 0.019714 7.403990
0.188365 0.277945 0.019553 7.034840
0.211349 0.292326 0.020275 6.935580
0.237137 0.298355 0.020606 6.906570
0.266073 0.312573 0.021525 6.886260
0.298538 0.304929 0.021082 6.913790
0.334965 0.323243 0.022322 6.905550
0.375837 0.344107 0.023545 6.842310
0.421697 0.342176 0.023367 6.828850
0.473151 0.347780 0.023978 6.894650
0.530884 0.349058 0.023599 6.760610
0.595662 0.367323 0.022720 6.185190
0.668344 0.367311 0.019946 5.430260
0.749894 0.355614 0.017352 4.879350
0.841395 0.346129 0.014713 4.250660
0.944061 0.345901 0.012344 3.568550
1.059250 0.315564 0.010939 3.466390
1.188510 0.316531 0.011560 3.652220
1.333530 0.303616 0.012459 4.103380
1.496240 0.281606 0.013635 4.841700
0.944061 0.338299 0.010817 3.197340
1.059250 0.337626 0.008927 2.644080
1.188510 0.318396 0.007965 2.501510
1.333530 0.296775 0.007173 2.416950
1.496240 0.275398 0.006628 2.406640
1.678800 0.254921 0.006149 2.412200
1.883650 0.235332 0.005701 2.422330
2.113490 0.210865 0.005129 2.432360
2.371370 0.188362 0.004602 2.443390
2.660730 0.164640 0.004066 2.469750
2.985380 0.141895 0.003535 2.491350
3.349650 0.117342 0.002946 2.510390
3.758370 0.093212 0.002355 2.526990
4.216970 0.072645 0.001865 2.566630
4.731510 0.053978 0.001414 2.618770
5.308840 0.038463 0.001028 2.671980
5.956620 0.025766 0.000714 2.770830
6.683440 0.016122 0.000470 2.912530
7.498940 0.009692 0.000319 3.292620
8.413950 0.005402 0.000218 4.042200
9.440610 0.002856 0.000167 5.834860
