E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.105925 0.209663 0.022608 10.782800
0.118851 0.220454 0.021098 9.570430
0.133353 0.213698 0.018973 8.878280
0.149624 0.221190 0.018517 8.371640
0.167880 0.236185 0.018115 7.669710
0.188365 0.248534 0.017987 7.237300
0.211349 0.258379 0.018368 7.109120
0.237137 0.266031 0.018764 7.053430
0.266073 0.284217 0.019973 7.027460
0.298538 0.284392 0.020031 7.043530
0.334965 0.304340 0.021368 7.021180
0.375837 0.308422 0.021496 6.969580
0.421697 0.311832 0.021723 6.966200
0.473151 0.316112 0.022345 7.068550
0.530884 0.327448 0.022660 6.920090
0.595662 0.333617 0.021322 6.391040
0.668344 0.331351 0.018505 5.584640
0.749894 0.338076 0.016818 4.974560
0.841395 0.327921 0.014249 4.345220
0.944061 0.305970 0.011370 3.716080
1.059250 0.315745 0.010995 3.482180
1.188510 0.312923 0.011444 3.657020
1.333530 0.301962 0.012388 4.102540
1.496240 0.279246 0.013516 4.840280
0.944061 0.320423 0.010241 3.196210
1.059250 0.322060 0.008019 2.489980
1.188510 0.308063 0.007143 2.318640
1.333530 0.292723 0.006517 2.226180
1.496240 0.277752 0.006163 2.218810
1.678800 0.262073 0.005841 2.228820
1.883650 0.245457 0.005502 2.241670
2.113490 0.222797 0.005021 2.253690
2.371370 0.200422 0.004542 2.266470
2.660730 0.175384 0.004018 2.291070
2.985380 0.149849 0.003463 2.311250
3.349650 0.124225 0.002890 2.326250
3.758370 0.098505 0.002301 2.336260
4.216970 0.075914 0.001798 2.367980
4.731510 0.056507 0.001362 2.409480
5.308840 0.039908 0.000978 2.451790
5.956620 0.026819 0.000683 2.546930
6.683440 0.016740 0.000456 2.721800
7.498940 0.010003 0.000325 3.248450
8.413950 0.005544 0.000244 4.404610
9.440610 0.002847 0.000202 7.109120
