E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.010592 0.083673 0.171203 204.610000
0.011885 0.092439 0.131532 142.290000
0.013335 0.051664 0.094141 182.218000
0.014962 0.166815 0.088245 52.900100
0.016788 0.104819 0.091130 86.940500
0.018836 0.078241 0.085716 109.554000
0.021135 0.107975 0.075034 69.492200
0.023714 0.131186 0.070881 54.030900
0.026607 0.092352 0.066787 72.318100
0.029854 0.136788 0.057488 42.026800
0.033496 0.127439 0.050723 39.802000
0.037584 0.132161 0.043731 33.089500
0.042170 0.181808 0.037091 20.401000
0.047315 0.149758 0.032839 21.928300
0.053088 0.164574 0.030867 18.755400
0.059566 0.159838 0.029725 18.596900
0.066834 0.183998 0.028921 15.718000
0.074989 0.196071 0.028510 14.540600
0.084140 0.194760 0.027886 14.317900
0.094406 0.212216 0.025128 11.840900
0.105925 0.211376 0.021453 10.149100
0.118851 0.222862 0.019255 8.640010
0.133353 0.224038 0.016996 7.586200
0.149624 0.230884 0.016251 7.038670
0.167880 0.245809 0.015210 6.187840
0.188365 0.256641 0.014545 5.667410
0.211349 0.261466 0.014349 5.487710
0.237137 0.268237 0.014445 5.385130
0.266073 0.284914 0.015257 5.354900
0.298538 0.283158 0.015234 5.379970
0.334965 0.297231 0.015965 5.371160
0.375837 0.306531 0.016373 5.341210
0.421697 0.316663 0.017120 5.406430
0.473151 0.321770 0.018308 5.689900
0.530884 0.329687 0.019101 5.793760
0.595662 0.328270 0.018137 5.525110
0.668344 0.327057 0.015756 4.817610
0.749894 0.326848 0.014445 4.419610
0.841395 0.333131 0.012736 3.823140
0.944061 0.315475 0.009521 3.017850
1.059250 0.312433 0.008001 2.560840
1.188510 0.310322 0.007783 2.508160
1.333530 0.292952 0.008379 2.860140
1.496240 0.283251 0.010046 3.546610
0.944061 0.322034 0.009163 2.845460
1.059250 0.320278 0.006202 1.936510
1.188510 0.308413 0.005214 1.690650
1.333530 0.291789 0.004608 1.579270
1.496240 0.276112 0.004367 1.581630
1.678800 0.260455 0.004188 1.607830
1.883650 0.243768 0.003993 1.637930
2.113490 0.220763 0.003667 1.661270
2.371370 0.198219 0.003333 1.681340
2.660730 0.172845 0.002969 1.717760
2.985380 0.147247 0.002572 1.746950
3.349650 0.120817 0.002129 1.761760
3.758370 0.095188 0.001679 1.764400
4.216970 0.073077 0.001315 1.799430
4.731510 0.054164 0.001003 1.852240
5.308840 0.037597 0.000722 1.920220
5.956620 0.024998 0.000525 2.101470
6.683440 0.015541 0.000385 2.475250
7.498940 0.009181 0.000319 3.470340
8.413950 0.005005 0.000276 5.504790
9.440610 0.002443 0.000246 10.066800
