E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.010592 0.058908 0.140765 238.960000
0.011885 0.105249 0.115580 109.816000
0.013335 -0.038621 0.092856 -240.428000
0.014962 0.167368 0.087547 52.308300
0.016788 0.071662 0.086924 121.298000
0.018836 0.015910 0.080758 507.595000
0.021135 0.083367 0.072429 86.879400
0.023714 0.115864 0.067885 58.590100
0.026607 0.105379 0.063257 60.028000
0.029854 0.119931 0.056073 46.754900
0.033496 0.153150 0.051154 33.401300
0.037584 0.096166 0.045296 47.101600
0.042170 0.181864 0.040712 22.385700
0.047315 0.160653 0.036820 22.918900
0.053088 0.139039 0.034532 24.836400
0.059566 0.186290 0.034267 18.394600
0.066834 0.163034 0.032404 19.875400
0.074989 0.127486 0.030838 24.189100
0.084140 0.237755 0.033357 14.029800
0.094406 0.180125 0.028718 15.943200
0.105925 0.204446 0.026271 12.849900
0.118851 0.211394 0.024431 11.557100
0.133353 0.239582 0.023806 9.936660
0.149624 0.215512 0.021121 9.800530
0.167880 0.223997 0.019674 8.782980
0.188365 0.246325 0.019498 7.915460
0.211349 0.257920 0.019513 7.565430
0.237137 0.283513 0.020900 7.371940
0.266073 0.280000 0.020578 7.349310
0.298538 0.288094 0.021355 7.412710
0.334965 0.302003 0.022525 7.458440
0.375837 0.313122 0.023453 7.490070
0.421697 0.304313 0.023332 7.667260
0.473151 0.327218 0.025459 7.780530
0.530884 0.316931 0.024711 7.797100
0.595662 0.287282 0.021486 7.479210
0.668344 0.344286 0.022173 6.440350
0.749894 0.308049 0.018687 6.066180
0.841395 0.314385 0.016977 5.399970
0.944061 0.305700 0.014627 4.784800
1.059250 0.318391 0.014310 4.494500
1.188510 0.290740 0.013556 4.662650
1.333530 0.277464 0.013733 4.949420
1.496240 0.282145 0.015372 5.448270
0.944061 0.313608 0.010427 3.324990
1.059250 0.309439 0.008392 2.711850
1.188510 0.303170 0.007638 2.519320
1.333530 0.284504 0.006841 2.404560
1.496240 0.267344 0.006355 2.377080
1.678800 0.252926 0.005997 2.370890
1.883650 0.234865 0.005577 2.374350
2.113490 0.211075 0.005029 2.382780
2.371370 0.191968 0.004592 2.392300
2.660730 0.167671 0.004079 2.432580
2.985380 0.145219 0.003571 2.458840
3.349650 0.120360 0.002997 2.490000
3.758370 0.097401 0.002458 2.523580
4.216970 0.076661 0.001983 2.586630
4.731510 0.058900 0.001573 2.670480
5.308840 0.043298 0.001200 2.770660
5.956620 0.030382 0.000890 2.929670
6.683440 0.020851 0.000650 3.119560
7.498940 0.012845 0.000458 3.565930
8.413950 0.007053 0.000310 4.402580
9.440610 0.003393 0.000221 6.522770
