E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.010592 0.053712 0.129176 240.496000
0.011885 0.127742 0.101511 79.465700
0.013335 0.197561 0.076258 38.599600
0.014962 0.157698 0.072888 46.219800
0.016788 0.189372 0.074065 39.111000
0.018836 0.024157 0.070964 293.766000
0.021135 0.141358 0.062563 44.258800
0.023714 0.124971 0.059473 47.589000
0.026607 0.113677 0.056039 49.296300
0.029854 0.150470 0.049213 32.706000
0.033496 0.125890 0.044258 35.156400
0.037584 0.131616 0.039140 29.738400
0.042170 0.137300 0.033935 24.716200
0.047315 0.138132 0.030757 22.266300
0.053088 0.188013 0.030104 16.011900
0.059566 0.144553 0.028386 19.636800
0.066834 0.173025 0.028057 16.215300
0.074989 0.182275 0.027843 15.275200
0.084140 0.164436 0.027108 16.485300
0.094406 0.193039 0.025297 13.104700
0.105925 0.201105 0.022528 11.202100
0.118851 0.212139 0.021012 9.904660
0.133353 0.201563 0.018732 9.293460
0.149624 0.244756 0.019926 8.141350
0.167880 0.229238 0.017786 7.758870
0.188365 0.262478 0.018828 7.173100
0.211349 0.257579 0.018221 7.073910
0.237137 0.284609 0.019956 7.011660
0.266073 0.284984 0.019936 6.995500
0.298538 0.293808 0.020662 7.032400
0.334965 0.304043 0.021434 7.049600
0.375837 0.301215 0.021136 7.016950
0.421697 0.336627 0.023458 6.968500
0.473151 0.314924 0.022341 7.094210
0.530884 0.329300 0.022813 6.927670
0.595662 0.352456 0.022328 6.334960
0.668344 0.336189 0.019200 5.711030
0.749894 0.335337 0.017420 5.194810
0.841395 0.327346 0.014980 4.576310
0.944061 0.311589 0.012154 3.900750
1.059250 0.310573 0.011669 3.757110
1.188510 0.302207 0.011807 3.906840
1.333530 0.298946 0.012753 4.266010
1.496240 0.285355 0.014189 4.972350
0.944061 0.323094 0.010319 3.193750
1.059250 0.319487 0.008419 2.635120
1.188510 0.307368 0.007629 2.482130
1.333530 0.290071 0.006929 2.388610
1.496240 0.275596 0.006540 2.373120
1.678800 0.256030 0.006083 2.375780
1.883650 0.239735 0.005714 2.383410
2.113490 0.217121 0.005194 2.392300
2.371370 0.195359 0.004694 2.402850
2.660730 0.170547 0.004145 2.430630
2.985380 0.144936 0.003556 2.453180
3.349650 0.119989 0.002969 2.474240
3.758370 0.094446 0.002356 2.494540
4.216970 0.072282 0.001835 2.539290
4.731510 0.054137 0.001406 2.597030
5.308840 0.038266 0.001018 2.659590
5.956620 0.026190 0.000724 2.763670
6.683440 0.016649 0.000483 2.904070
7.498940 0.009784 0.000321 3.285170
8.413950 0.005695 0.000221 3.888700
9.440610 0.002783 0.000160 5.748810
