E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.010592 0.120189 0.143099 119.062000
0.011885 0.191483 0.119981 62.658500
0.013335 0.102320 0.098445 96.213000
0.014962 0.061953 0.093178 150.401000
0.016788 0.242909 0.091899 37.832700
0.018836 0.145832 0.082837 56.803300
0.021135 0.099160 0.074146 74.773400
0.023714 0.031644 0.068085 215.162000
0.026607 0.066717 0.062453 93.607900
0.029854 0.133435 0.055517 41.605700
0.033496 0.173714 0.051113 29.423500
0.037584 0.102156 0.045061 44.109800
0.042170 0.124605 0.039975 32.081400
0.047315 0.093765 0.035991 38.383900
0.053088 0.137705 0.035040 25.445500
0.059566 0.159070 0.034195 21.496700
0.066834 0.244638 0.036060 14.740000
0.074989 0.133326 0.031584 23.689300
0.084140 0.241285 0.034988 14.500500
0.094406 0.184205 0.030251 16.422400
0.105925 0.211437 0.028266 13.368800
0.118851 0.210940 0.026217 12.428500
0.133353 0.219751 0.024628 11.207200
0.149624 0.207438 0.022340 10.769700
0.167880 0.231250 0.021564 9.324940
0.188365 0.255631 0.021342 8.348800
0.211349 0.214791 0.017649 8.216670
0.237137 0.248288 0.019352 7.794310
0.266073 0.253115 0.019588 7.738550
0.298538 0.260608 0.020406 7.830190
0.334965 0.276122 0.021820 7.902140
0.375837 0.287430 0.022990 7.998450
0.421697 0.307699 0.025077 8.149810
0.473151 0.281996 0.024455 8.672240
0.530884 0.301517 0.025754 8.541450
0.595662 0.304112 0.024145 7.939450
0.668344 0.283071 0.021117 7.460010
0.749894 0.336107 0.021691 6.453660
0.841395 0.311287 0.018639 5.987750
0.944061 0.305313 0.016427 5.380400
1.059250 0.291446 0.015164 5.202870
1.188510 0.280832 0.014702 5.235240
1.333530 0.290851 0.015455 5.313670
1.496240 0.284789 0.016453 5.777270
0.944061 0.306142 0.010604 3.463930
1.059250 0.307752 0.008584 2.789400
1.188510 0.295964 0.007601 2.568370
1.333530 0.280886 0.006830 2.431450
1.496240 0.269583 0.006440 2.389000
1.678800 0.252227 0.005997 2.377600
1.883650 0.233782 0.005559 2.377750
2.113490 0.212322 0.005062 2.384120
2.371370 0.192327 0.004604 2.393800
2.660730 0.170599 0.004167 2.442720
2.985380 0.146559 0.003626 2.474420
3.349650 0.120846 0.003041 2.516160
3.758370 0.099522 0.002546 2.558680
4.216970 0.079204 0.002088 2.636040
4.731510 0.060555 0.001663 2.746410
5.308840 0.044152 0.001276 2.889330
5.956620 0.031075 0.000965 3.104640
6.683440 0.020841 0.000709 3.399660
7.498940 0.014568 0.000555 3.812440
8.413950 0.009323 0.000414 4.437290
9.440610 0.006015 0.000326 5.420560
