E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.105925 0.215188 0.025885 12.029000
0.118851 0.218421 0.023937 10.959100
0.133353 0.222126 0.022152 9.972630
0.149624 0.205769 0.020005 9.721860
0.167880 0.233185 0.019749 8.469210
0.188365 0.261517 0.020160 7.708830
0.211349 0.262917 0.019665 7.479490
0.237137 0.291768 0.021349 7.317200
0.266073 0.288615 0.021058 7.296210
0.298538 0.292504 0.021486 7.345510
0.334965 0.296287 0.021874 7.382590
0.375837 0.304918 0.022562 7.399230
0.421697 0.307328 0.023074 7.507980
0.473151 0.316617 0.024282 7.669320
0.530884 0.321729 0.024388 7.580340
0.595662 0.335395 0.023334 6.957070
0.668344 0.354985 0.021847 6.154450
0.749894 0.313829 0.017964 5.724200
0.841395 0.323273 0.016309 5.044970
0.944061 0.316261 0.014023 4.433950
1.059250 0.320777 0.013394 4.175610
1.188510 0.296362 0.012899 4.352300
1.333530 0.277232 0.013095 4.723670
1.496240 0.282873 0.014900 5.267270
0.944061 0.317892 0.010100 3.177220
1.059250 0.315450 0.008143 2.581460
1.188510 0.304364 0.007322 2.405620
1.333530 0.285103 0.006546 2.295880
1.496240 0.272242 0.006184 2.271520
1.678800 0.254726 0.005781 2.269420
1.883650 0.237793 0.005408 2.274040
2.113490 0.213357 0.004870 2.282490
2.371370 0.192308 0.004409 2.292750
2.660730 0.170159 0.003955 2.324530
2.985380 0.146893 0.003450 2.348530
3.349650 0.123101 0.002921 2.372830
3.758370 0.098943 0.002373 2.398230
4.216970 0.078034 0.001911 2.449360
4.731510 0.059616 0.001500 2.516890
5.308840 0.043842 0.001135 2.589620
5.956620 0.031166 0.000842 2.702960
6.683440 0.020626 0.000587 2.845710
7.498940 0.012199 0.000393 3.225050
8.413950 0.006565 0.000259 3.941590
9.440610 0.003242 0.000187 5.757060
