E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.010592 0.067391 0.130515 193.668000
0.011885 0.030222 0.103678 343.060000
0.013335 0.072785 0.076962 105.739000
0.014962 0.171403 0.072600 42.356100
0.016788 0.073557 0.074431 101.188000
0.018836 0.083789 0.069704 83.190500
0.021135 0.134907 0.061949 45.920000
0.023714 0.112099 0.058996 52.628900
0.026607 0.103897 0.055706 53.616600
0.029854 0.118243 0.048981 41.424300
0.033496 0.102969 0.044093 42.821600
0.037584 0.175431 0.039205 22.347500
0.042170 0.121438 0.033553 27.630000
0.047315 0.120794 0.030290 25.076100
0.053088 0.157519 0.029173 18.520400
0.059566 0.153155 0.028216 18.423000
0.066834 0.167690 0.027648 16.487400
0.074989 0.179648 0.027492 15.303600
0.084140 0.180554 0.027171 15.048600
0.094406 0.192731 0.025017 12.980400
0.105925 0.226920 0.023234 10.238800
0.118851 0.221744 0.021185 9.553690
0.133353 0.222860 0.019517 8.757670
0.149624 0.249074 0.019932 8.002480
0.167880 0.248110 0.018684 7.530470
0.188365 0.252939 0.018028 7.127380
0.211349 0.275759 0.019226 6.971880
0.237137 0.284121 0.019717 6.939690
0.266073 0.292169 0.020221 6.921150
0.298538 0.298246 0.020754 6.958540
0.334965 0.304866 0.021273 6.977870
0.375837 0.318195 0.022036 6.925210
0.421697 0.321302 0.022215 6.914110
0.473151 0.339132 0.023573 6.951060
0.530884 0.345314 0.023494 6.803740
0.595662 0.335013 0.021245 6.341630
0.668344 0.356967 0.019980 5.597270
0.749894 0.341392 0.017480 5.120190
0.841395 0.336719 0.015125 4.492000
0.944061 0.316062 0.012063 3.816540
1.059250 0.308296 0.011374 3.689390
1.188510 0.309357 0.011824 3.821980
1.333530 0.302411 0.012677 4.191800
1.496240 0.298550 0.014618 4.896270
0.944061 0.328415 0.010512 3.200900
1.059250 0.326700 0.008665 2.652270
1.188510 0.316030 0.007920 2.506000
1.333530 0.294298 0.007118 2.418650
1.496240 0.279655 0.006729 2.406080
1.678800 0.258755 0.006237 2.410410
1.883650 0.240356 0.005816 2.419540
2.113490 0.215766 0.005241 2.429160
2.371370 0.191501 0.004673 2.440180
2.660730 0.165903 0.004093 2.467290
2.985380 0.140693 0.003503 2.489550
3.349650 0.114353 0.002870 2.510150
3.758370 0.091655 0.002317 2.528380
4.216970 0.071543 0.001839 2.570000
4.731510 0.053293 0.001399 2.624750
5.308840 0.037843 0.001015 2.681740
5.956620 0.025496 0.000709 2.782420
6.683440 0.016362 0.000476 2.910760
7.498940 0.009465 0.000312 3.296960
8.413950 0.005406 0.000213 3.948230
9.440610 0.002820 0.000159 5.637660
