E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.010592 0.037367 0.136296 364.746000
0.011885 0.033247 0.110280 331.695000
0.013335 0.094577 0.084558 89.407000
0.014962 0.110892 0.080642 72.720900
0.016788 -0.009403 0.082356 -875.805000
0.018836 0.166102 0.075603 45.516100
0.021135 0.185211 0.067969 36.698000
0.023714 0.108201 0.064248 59.378400
0.026607 0.122425 0.060209 49.180400
0.029854 0.122695 0.053171 43.336200
0.033496 0.095229 0.048050 50.457200
0.037584 0.217418 0.043738 20.117100
0.042170 0.153668 0.037339 24.298800
0.047315 0.194129 0.034652 17.849800
0.053088 0.133386 0.031712 23.774600
0.059566 0.132713 0.030480 22.966600
0.066834 0.192816 0.030612 15.876500
0.074989 0.192909 0.030013 15.558000
0.084140 0.146293 0.028469 19.460100
0.094406 0.216272 0.027649 12.784400
0.105925 0.213425 0.024435 11.449200
0.118851 0.240685 0.023647 9.824790
0.133353 0.227157 0.021180 9.323730
0.149624 0.226842 0.019998 8.815730
0.167880 0.261323 0.020526 7.854620
0.188365 0.266008 0.019717 7.412030
0.211349 0.264679 0.019214 7.259400
0.237137 0.282218 0.020230 7.168180
0.266073 0.285286 0.020385 7.145520
0.298538 0.289055 0.020795 7.194110
0.334965 0.290493 0.021012 7.233340
0.375837 0.302717 0.021848 7.217200
0.421697 0.304049 0.022118 7.274500
0.473151 0.314505 0.023204 7.378080
0.530884 0.332042 0.023918 7.203220
0.595662 0.328455 0.021987 6.694000
0.668344 0.320628 0.019409 6.053430
0.749894 0.317846 0.017542 5.519050
0.841395 0.321924 0.015685 4.872320
0.944061 0.299255 0.012771 4.267680
1.059250 0.302870 0.012332 4.071550
1.188510 0.310400 0.012862 4.143600
1.333530 0.281162 0.012758 4.537750
1.496240 0.271630 0.014070 5.179640
0.944061 0.306270 0.009909 3.235530
1.059250 0.313338 0.008300 2.649020
1.188510 0.297045 0.007379 2.484290
1.333530 0.284265 0.006763 2.379270
1.496240 0.267637 0.006312 2.358300
1.678800 0.251163 0.005920 2.357110
1.883650 0.235580 0.005564 2.361990
2.113490 0.213541 0.005061 2.369860
2.371370 0.191294 0.004553 2.380210
2.660730 0.168758 0.004068 2.410820
2.985380 0.146119 0.003556 2.433750
3.349650 0.122078 0.002999 2.457040
3.758370 0.097839 0.002427 2.481060
4.216970 0.077479 0.001960 2.529130
4.731510 0.058948 0.001529 2.593120
5.308840 0.043183 0.001149 2.661390
5.956620 0.029952 0.000831 2.774440
6.683440 0.018669 0.000549 2.941110
7.498940 0.010804 0.000363 3.360740
8.413950 0.005685 0.000239 4.207340
9.440610 0.002982 0.000179 5.986540
