#  n+235U
# Incident Energy =   16.10000
# Particle spectrum from Pre-equilibrium emission from 236U
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199153   0.0000000E+00   0.1572203E-01   0.3129821E-11
  0.398305   0.0000000E+00   0.3061284E-01   0.2924425E-11
  0.597458   0.0000000E+00   0.4109088E-01   0.2734227E-11
  0.796610   0.0000000E+00   0.5220874E-01   0.2558074E-11
  0.995763   0.0000000E+00   0.6785453E-01   0.2394892E-11
  1.194915   0.0000000E+00   0.8633261E-01   0.2243689E-11
  1.394068   0.0000000E+00   0.1014542E+00   0.2103544E-11
  1.593220   0.0000000E+00   0.1098206E+00   0.1973605E-11
  1.792373   0.0000000E+00   0.1130645E+00   0.1853082E-11
  1.991525   0.0000000E+00   0.1130911E+00   0.1740540E-11
  2.190678   0.0000000E+00   0.1113811E+00   0.1642398E-11
  2.389831   0.0000000E+00   0.1090086E+00   0.1707675E-11
  2.588983   0.0000000E+00   0.1066814E+00   0.3248657E-11
  2.788136   0.0000000E+00   0.1046580E+00   0.1441640E-10
  2.987288   0.0000000E+00   0.1028548E+00   0.7799412E-10
  3.186441   0.0000000E+00   0.1011662E+00   0.3749645E-09
  3.385593   0.0000000E+00   0.9945955E-01   0.1570126E-08
  3.584746   0.0000000E+00   0.9766595E-01   0.5785452E-08
  3.783898   0.0000000E+00   0.9581547E-01   0.1896576E-07
  3.983051   0.0000000E+00   0.9397576E-01   0.5658467E-07
  4.182203   0.0000000E+00   0.9221815E-01   0.1548862E-06
  4.381356   0.0000000E+00   0.9057194E-01   0.3912046E-06
  4.580508   0.0000000E+00   0.8907762E-01   0.9209616E-06
  4.779661   0.0000000E+00   0.8777524E-01   0.2035825E-05
  4.978814   0.0000000E+00   0.8665426E-01   0.4252973E-05
  5.177966   0.0000000E+00   0.8572764E-01   0.8442051E-05
  5.377119   0.0000000E+00   0.8500742E-01   0.3835327E-04
  5.576271   0.0000000E+00   0.8447090E-01   0.1955486E-03
  5.775424   0.0000000E+00   0.8409105E-01   0.1536389E-03
  5.974576   0.0000000E+00   0.8382638E-01   0.2860456E-03
  6.173729   0.0000000E+00   0.8363097E-01   0.3824612E-03
  6.372881   0.0000000E+00   0.8343107E-01   0.6582595E-03
  6.572034   0.0000000E+00   0.8315504E-01   0.9412020E-03
  6.771186   0.0000000E+00   0.8276665E-01   0.1463900E-02
  6.970339   0.0000000E+00   0.8220543E-01   0.2074822E-02
  7.169492   0.0000000E+00   0.8146226E-01   0.2988924E-02
  7.368644   0.0000000E+00   0.8055348E-01   0.4182968E-02
  7.567797   0.0000000E+00   0.7946183E-01   0.5746829E-02
  7.766949   0.0000000E+00   0.7822144E-01   0.7768108E-02
  7.966102   0.0000000E+00   0.7686060E-01   0.1028739E-01
  8.165254   0.0000000E+00   0.7537366E-01   0.1344518E-01
  8.364407   0.0000000E+00   0.7382801E-01   0.1733218E-01
  8.563559   0.0000000E+00   0.7222077E-01   0.2205273E-01
  8.762712   0.0000000E+00   0.7055763E-01   0.2768106E-01
  8.961864   0.0000000E+00   0.6887891E-01   0.3430459E-01
  9.161017   0.0000000E+00   0.6717833E-01   0.4200293E-01
  9.360169   0.0000000E+00   0.6546346E-01   0.5086222E-01
  9.559322   0.0000000E+00   0.6375340E-01   0.6093809E-01
  9.758475   0.0000000E+00   0.6204542E-01   0.7227814E-01
  9.957627   0.0000000E+00   0.6034079E-01   0.8481842E-01
