#  n+235U
# Incident Energy =   16.30000
# Particle spectrum from Pre-equilibrium emission from 236U
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199153   0.0000000E+00   0.1542870E-01   0.2841720E-11
  0.398305   0.0000000E+00   0.3006139E-01   0.2656755E-11
  0.597458   0.0000000E+00   0.4037642E-01   0.2485340E-11
  0.796610   0.0000000E+00   0.5133271E-01   0.2326457E-11
  0.995763   0.0000000E+00   0.6675592E-01   0.2179162E-11
  1.194915   0.0000000E+00   0.8498393E-01   0.2042577E-11
  1.394068   0.0000000E+00   0.9992493E-01   0.1915889E-11
  1.593220   0.0000000E+00   0.1082232E+00   0.1798344E-11
  1.792373   0.0000000E+00   0.1114772E+00   0.1689242E-11
  1.991525   0.0000000E+00   0.1115583E+00   0.1587293E-11
  2.190678   0.0000000E+00   0.1099232E+00   0.1498370E-11
  2.389831   0.0000000E+00   0.1076300E+00   0.1558494E-11
  2.588983   0.0000000E+00   0.1053773E+00   0.2965892E-11
  2.788136   0.0000000E+00   0.1034206E+00   0.1316596E-10
  2.987288   0.0000000E+00   0.1016781E+00   0.7125174E-10
  3.186441   0.0000000E+00   0.1000456E+00   0.3426536E-09
  3.385593   0.0000000E+00   0.9839216E-01   0.1435245E-08
  3.584746   0.0000000E+00   0.9664991E-01   0.5289929E-08
  3.783898   0.0000000E+00   0.9484868E-01   0.1734602E-07
  3.983051   0.0000000E+00   0.9305562E-01   0.5176571E-07
  4.182203   0.0000000E+00   0.9134161E-01   0.1417318E-06
  4.381356   0.0000000E+00   0.8973594E-01   0.3580696E-06
  4.580508   0.0000000E+00   0.8827905E-01   0.8431657E-06
  4.779661   0.0000000E+00   0.8701095E-01   0.1864315E-05
  4.978814   0.0000000E+00   0.8592151E-01   0.3895646E-05
  5.177966   0.0000000E+00   0.8502392E-01   0.7734709E-05
  5.377119   0.0000000E+00   0.8433041E-01   0.3514872E-04
  5.576271   0.0000000E+00   0.8381881E-01   0.1792568E-03
  5.775424   0.0000000E+00   0.8346256E-01   0.1408769E-03
  5.974576   0.0000000E+00   0.8322077E-01   0.2623591E-03
  6.173729   0.0000000E+00   0.8304808E-01   0.3508938E-03
  6.372881   0.0000000E+00   0.8287145E-01   0.6041142E-03
