# Pre-equilibrium particle emission
# num energy points =  105
# Energy            xs (b)         prob
#  E (MeV)      xs_tot (b)               g               n               p               g               n               p
    6.3000   0.1273872E+00   0.0000000E+00   0.1273872E+00   0.3614543E-09   0.0000000E+00   0.5039370E-01   0.1429894E-09
    6.5000   0.1358921E+00   0.0000000E+00   0.1358921E+00   0.8237458E-09   0.0000000E+00   0.5304757E-01   0.3215617E-09
    6.7000   0.1445875E+00   0.0000000E+00   0.1445875E+00   0.1783329E-08   0.0000000E+00   0.5572543E-01   0.6873124E-09
    6.9000   0.1533136E+00   0.0000000E+00   0.1533136E+00   0.5273057E-08   0.0000000E+00   0.5842796E-01   0.2009567E-08
    7.1000   0.1620063E+00   0.0000000E+00   0.1620063E+00   0.2199218E-07   0.0000000E+00   0.6115571E-01   0.8301822E-08
    7.3000   0.1706242E+00   0.0000000E+00   0.1706241E+00   0.4570758E-07   0.0000000E+00   0.6390882E-01   0.1712019E-07
    7.5000   0.1791025E+00   0.0000000E+00   0.1791024E+00   0.8562717E-07   0.0000000E+00   0.6668692E-01   0.3188239E-07
    7.7000   0.1873939E+00   0.0000000E+00   0.1873938E+00   0.1454696E-06   0.0000000E+00   0.6948924E-01   0.5394293E-07
    7.9000   0.1955726E+00   0.0000000E+00   0.1955724E+00   0.2421830E-06   0.0000000E+00   0.7231439E-01   0.8954902E-07
    8.1000   0.2035507E+00   0.0000000E+00   0.2035503E+00   0.3890299E-06   0.0000000E+00   0.7516061E-01   0.1436486E-06
    8.3000   0.2113939E+00   0.0000000E+00   0.2113933E+00   0.6155365E-06   0.0000000E+00   0.7802591E-01   0.2271964E-06
    8.5000   0.2191614E+00   0.0000000E+00   0.2191605E+00   0.9517924E-06   0.0000000E+00   0.8090795E-01   0.3513752E-06
    8.7000   0.2268028E+00   0.0000000E+00   0.2268013E+00   0.1445747E-05   0.0000000E+00   0.8380435E-01   0.5342115E-06
    8.9000   0.2343871E+00   0.0000000E+00   0.2343850E+00   0.2158062E-05   0.0000000E+00   0.8671271E-01   0.7983934E-06
    9.1000   0.2419382E+00   0.0000000E+00   0.2419350E+00   0.3167704E-05   0.0000000E+00   0.8963056E-01   0.1173551E-05
    9.3000   0.2494501E+00   0.0000000E+00   0.2494455E+00   0.4575721E-05   0.0000000E+00   0.9255568E-01   0.1697801E-05
    9.5000   0.2569747E+00   0.0000000E+00   0.2569682E+00   0.6507257E-05   0.0000000E+00   0.9548588E-01   0.2418008E-05
    9.7000   0.2645386E+00   0.0000000E+00   0.2645294E+00   0.9119959E-05   0.0000000E+00   0.9841909E-01   0.3393112E-05
    9.9000   0.2721427E+00   0.0000000E+00   0.2721301E+00   0.1260726E-04   0.0000000E+00   0.1013535E+00   0.4695511E-05
   10.1000   0.2798112E+00   0.0000000E+00   0.2797940E+00   0.1720583E-04   0.0000000E+00   0.1042873E+00   0.6413110E-05
   10.3000   0.2875620E+00   0.0000000E+00   0.2875388E+00   0.2319890E-04   0.0000000E+00   0.1072190E+00   0.8650524E-05
   10.5000   0.2953870E+00   0.0000000E+00   0.2953561E+00   0.3092001E-04   0.0000000E+00   0.1101471E+00   0.1153099E-04
   10.7000   0.3032894E+00   0.0000000E+00   0.3032486E+00   0.4076074E-04   0.0000000E+00   0.1130705E+00   0.1519821E-04
   10.9000   0.3112411E+00   0.0000000E+00   0.3111879E+00   0.5317202E-04   0.0000000E+00   0.1159879E+00   0.1981861E-04
   11.1000   0.3192231E+00   0.0000000E+00   0.3191544E+00   0.6867151E-04   0.0000000E+00   0.1188985E+00   0.2558305E-04
   11.3000   0.3272218E+00   0.0000000E+00   0.3271340E+00   0.8784893E-04   0.0000000E+00   0.1218014E+00   0.3270869E-04
   11.5000   0.3352181E+00   0.0000000E+00   0.3351067E+00   0.1113604E-03   0.0000000E+00   0.1246958E+00   0.4143805E-04
   11.7000   0.3431887E+00   0.0000000E+00   0.3430488E+00   0.1399307E-03   0.0000000E+00   0.1275809E+00   0.5204065E-04
   11.9000   0.3511006E+00   0.0000000E+00   0.3509262E+00   0.1743484E-03   0.0000000E+00   0.1304562E+00   0.6481368E-04
   12.1000   0.3589256E+00   0.0000000E+00   0.3587101E+00   0.2154615E-03   0.0000000E+00   0.1333209E+00   0.8008006E-04
   12.3000   0.3666361E+00   0.0000000E+00   0.3663720E+00   0.2641592E-03   0.0000000E+00   0.1361746E+00   0.9818377E-04
   12.5000   0.3743071E+00   0.0000000E+00   0.3739856E+00   0.3214601E-03   0.0000000E+00   0.1390167E+00   0.1194921E-03
   12.7000   0.3818563E+00   0.0000000E+00   0.3814680E+00   0.3883179E-03   0.0000000E+00   0.1418466E+00   0.1443937E-03
   12.9000   0.3892604E+00   0.0000000E+00   0.3887947E+00   0.4657189E-03   0.0000000E+00   0.1446637E+00   0.1732858E-03
   13.1000   0.3964983E+00   0.0000000E+00   0.3959436E+00   0.5546399E-03   0.0000000E+00   0.1474675E+00   0.2065732E-03
   13.3000   0.4036802E+00   0.0000000E+00   0.4030240E+00   0.6562525E-03   0.0000000E+00   0.1502575E+00   0.2446675E-03
   13.5000   0.4107939E+00   0.0000000E+00   0.4100224E+00   0.7715947E-03   0.0000000E+00   0.1530331E+00   0.2879831E-03
   13.7000   0.4177822E+00   0.0000000E+00   0.4168807E+00   0.9015450E-03   0.0000000E+00   0.1557939E+00   0.3369194E-03
   13.9000   0.4246367E+00   0.0000000E+00   0.4235897E+00   0.1046986E-02   0.0000000E+00   0.1585392E+00   0.3918612E-03
   14.1000   0.4313645E+00   0.0000000E+00   0.4301557E+00   0.1208771E-02   0.0000000E+00   0.1612687E+00   0.4531779E-03
   14.3000   0.4381918E+00   0.0000000E+00   0.4368034E+00   0.1388386E-02   0.0000000E+00   0.1639819E+00   0.5212190E-03
   14.5000   0.4449709E+00   0.0000000E+00   0.4433847E+00   0.1586248E-02   0.0000000E+00   0.1666784E+00   0.5963068E-03
   14.7000   0.4517042E+00   0.0000000E+00   0.4499011E+00   0.1803063E-02   0.0000000E+00   0.1693578E+00   0.6787330E-03
   14.9000   0.4583952E+00   0.0000000E+00   0.4563558E+00   0.2039461E-02   0.0000000E+00   0.1720196E+00   0.7687581E-03
   15.1000   0.4650663E+00   0.0000000E+00   0.4627702E+00   0.2296080E-02   0.0000000E+00   0.1746636E+00   0.8666107E-03
   15.3000   0.4718516E+00   0.0000000E+00   0.4692774E+00   0.2574130E-02   0.0000000E+00   0.1772895E+00   0.9724869E-03
   15.5000   0.4786663E+00   0.0000000E+00   0.4757925E+00   0.2873752E-02   0.0000000E+00   0.1798971E+00   0.1086565E-02
   15.7000   0.4855186E+00   0.0000000E+00   0.4823231E+00   0.3195445E-02   0.0000000E+00   0.1824861E+00   0.1208991E-02
   15.9000   0.4924176E+00   0.0000000E+00   0.4888779E+00   0.3539665E-02   0.0000000E+00   0.1850564E+00   0.1339880E-02
   16.1000   0.4993733E+00   0.0000000E+00   0.4954664E+00   0.3906831E-02   0.0000000E+00   0.1876079E+00   0.1479318E-02
   16.3000   0.5064090E+00   0.0000000E+00   0.5021115E+00   0.4297463E-02   0.0000000E+00   0.1901404E+00   0.1627370E-02
   16.5000   0.5135191E+00   0.0000000E+00   0.5088072E+00   0.4711889E-02   0.0000000E+00   0.1926539E+00   0.1784102E-02
   16.7000   0.5207073E+00   0.0000000E+00   0.5155568E+00   0.5150473E-02   0.0000000E+00   0.1951484E+00   0.1949556E-02
   16.9000   0.5279801E+00   0.0000000E+00   0.5223666E+00   0.5613580E-02   0.0000000E+00   0.1976239E+00   0.2123753E-02
   17.1000   0.5353448E+00   0.0000000E+00   0.5292432E+00   0.6101567E-02   0.0000000E+00   0.2000804E+00   0.2306697E-02
   17.3000   0.5427826E+00   0.0000000E+00   0.5361682E+00   0.6614477E-02   0.0000000E+00   0.2025179E+00   0.2498376E-02
   17.5000   0.5501749E+00   0.0000000E+00   0.5430238E+00   0.7151043E-02   0.0000000E+00   0.2049365E+00   0.2698794E-02
   17.7000   0.5576061E+00   0.0000000E+00   0.5498937E+00   0.7712385E-02   0.0000000E+00   0.2073363E+00   0.2907939E-02
   17.9000   0.5650743E+00   0.0000000E+00   0.5567757E+00   0.8298603E-02   0.0000000E+00   0.2097174E+00   0.3125785E-02
   18.1000   0.5725775E+00   0.0000000E+00   0.5636678E+00   0.8909768E-02   0.0000000E+00   0.2120799E+00   0.3352298E-02
   18.3000   0.5801140E+00   0.0000000E+00   0.5705681E+00   0.9545921E-02   0.0000000E+00   0.2144239E+00   0.3587431E-02
   18.5000   0.5876602E+00   0.0000000E+00   0.5774535E+00   0.1020674E-01   0.0000000E+00   0.2167496E+00   0.3831143E-02
   18.7000   0.5950684E+00   0.0000000E+00   0.5841789E+00   0.1088954E-01   0.0000000E+00   0.2190570E+00   0.4083391E-02
   18.9000   0.6024287E+00   0.0000000E+00   0.5908330E+00   0.1159565E-01   0.0000000E+00   0.2213463E+00   0.4344127E-02
   19.1000   0.6097305E+00   0.0000000E+00   0.5974059E+00   0.1232464E-01   0.0000000E+00   0.2236177E+00   0.4613290E-02
   19.3000   0.6169635E+00   0.0000000E+00   0.6038875E+00   0.1307605E-01   0.0000000E+00   0.2258711E+00   0.4890816E-02
   19.5000   0.6241177E+00   0.0000000E+00   0.6102684E+00   0.1384935E-01   0.0000000E+00   0.2281069E+00   0.5176629E-02
   19.7000   0.6311834E+00   0.0000000E+00   0.6165394E+00   0.1464399E-01   0.0000000E+00   0.2303251E+00   0.5470662E-02
   19.9000   0.6381486E+00   0.0000000E+00   0.6226893E+00   0.1545931E-01   0.0000000E+00   0.2325257E+00   0.5772845E-02
   20.1000   0.6449988E+00   0.0000000E+00   0.6287042E+00   0.1629452E-01   0.0000000E+00   0.2347090E+00   0.6083100E-02
   20.3000   0.6517231E+00   0.0000000E+00   0.6345742E+00   0.1714883E-01   0.0000000E+00   0.2368750E+00   0.6401344E-02
   20.5000   0.6583112E+00   0.0000000E+00   0.6402898E+00   0.1802139E-01   0.0000000E+00   0.2390237E+00   0.6727485E-02
   20.7000   0.6647539E+00   0.0000000E+00   0.6458426E+00   0.1891134E-01   0.0000000E+00   0.2411553E+00   0.7061426E-02
   20.9000   0.6710425E+00   0.0000000E+00   0.6512248E+00   0.1981775E-01   0.0000000E+00   0.2432700E+00   0.7403070E-02
