   0.0000E+00   1.0000E+00
   5.0000E-01   1.0000E+00
   1.0000E+00   1.0000E+00
   1.5000E+00   1.0000E+00
   2.0000E+00   1.0000E+00
   2.5000E+00   1.0000E+00
   3.0000E+00   1.0000E+00
   3.5000E+00   1.0000E+00
   4.0000E+00   1.0000E+00
   4.5000E+00   1.0000E+00
   5.0000E+00   9.7456E-01
   5.5000E+00   9.2063E-01
   6.0000E+00   8.2087E-01
   6.5000E+00   6.4526E-01
   7.0000E+00   5.4832E-01
   7.5000E+00   4.8928E-01
   8.0000E+00   4.6090E-01
   8.5000E+00   4.4546E-01
   9.0000E+00   4.3850E-01
   9.5000E+00   4.3254E-01
   1.0000E+01   4.2557E-01
   1.0500E+01   4.1759E-01
   1.1000E+01   4.0851E-01
   1.1500E+01   4.0116E-01
   1.2000E+01   3.8882E-01
   1.2500E+01   3.6280E-01
   1.3000E+01   3.3852E-01
   1.3500E+01   3.1653E-01
   1.4000E+01   2.9635E-01
   1.4500E+01   2.8581E-01
   1.5000E+01   2.7700E-01
   1.5500E+01   2.6802E-01
   1.6000E+01   2.5566E-01
   1.6500E+01   2.4416E-01
   1.7000E+01   2.3176E-01
   1.7500E+01   2.1987E-01
   1.8000E+01   2.0795E-01
   1.8500E+01   1.9458E-01
   1.9000E+01   1.8105E-01
   1.9500E+01   1.6557E-01
   2.0000E+01   1.5047E-01
