#  n+235U
# Incident Energy =    9.30000
# Particle spectrum from Pre-equilibrium emission from 236U
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199153   0.0000000E+00   0.3341869E-01   0.2408314E-08
  0.398305   0.0000000E+00   0.6333039E-01   0.2204480E-08
  0.597458   0.0000000E+00   0.8285704E-01   0.2021629E-08
  0.796610   0.0000000E+00   0.1027646E+00   0.1857265E-08
  0.995763   0.0000000E+00   0.1305637E+00   0.1709198E-08
  1.194915   0.0000000E+00   0.1626171E+00   0.1575507E-08
  1.394068   0.0000000E+00   0.1873203E+00   0.1454510E-08
  1.593220   0.0000000E+00   0.1990041E+00   0.1344733E-08
  1.792373   0.0000000E+00   0.2013101E+00   0.1244882E-08
  1.991525   0.0000000E+00   0.1980517E+00   0.1153367E-08
  2.190678   0.0000000E+00   0.1920297E+00   0.1073855E-08
  2.389831   0.0000000E+00   0.1851659E+00   0.1101868E-08
  2.588983   0.0000000E+00   0.1786532E+00   0.2068702E-08
  2.788136   0.0000000E+00   0.1728753E+00   0.9058769E-08
  2.987288   0.0000000E+00   0.1676393E+00   0.4834766E-07
  3.186441   0.0000000E+00   0.1627281E+00   0.2292027E-06
  3.385593   0.0000000E+00   0.1578939E+00   0.9458528E-06
  3.584746   0.0000000E+00   0.1530025E+00   0.3432047E-05
  3.783898   0.0000000E+00   0.1480807E+00   0.1106879E-04
  3.983051   0.0000000E+00   0.1432125E+00   0.3245184E-04
  4.182203   0.0000000E+00   0.1384837E+00   0.8717097E-04
  4.381356   0.0000000E+00   0.1339137E+00   0.2157122E-03
  4.580508   0.0000000E+00   0.1295345E+00   0.4965872E-03
  4.779661   0.0000000E+00   0.1253812E+00   0.1071048E-02
  4.978814   0.0000000E+00   0.1214038E+00   0.2177415E-02
  5.177966   0.0000000E+00   0.1175896E+00   0.4193193E-02
  5.377119   0.0000000E+00   0.1139208E+00   0.1841516E-01
