#  n+235U
# Incident Energy =    7.30000
# Particle spectrum from Pre-equilibrium emission from 236U
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199153   0.0000000E+00   0.4496774E-01   0.2109981E-06
  0.398305   0.0000000E+00   0.8454855E-01   0.1921038E-06
  0.597458   0.0000000E+00   0.1098356E+00   0.1752485E-06
  0.796610   0.0000000E+00   0.1353517E+00   0.1601595E-06
  0.995763   0.0000000E+00   0.1709539E+00   0.1466037E-06
  1.194915   0.0000000E+00   0.2117528E+00   0.1343812E-06
  1.394068   0.0000000E+00   0.2426381E+00   0.1233210E-06
  1.593220   0.0000000E+00   0.2564403E+00   0.1132761E-06
  1.792373   0.0000000E+00   0.2580544E+00   0.1041200E-06
  1.991525   0.0000000E+00   0.2524928E+00   0.9570336E-07
  2.190678   0.0000000E+00   0.2433881E+00   0.8832056E-07
  2.389831   0.0000000E+00   0.2331962E+00   0.8972422E-07
  2.588983   0.0000000E+00   0.2233981E+00   0.1665574E-06
  2.788136   0.0000000E+00   0.2144667E+00   0.7200181E-06
  2.987288   0.0000000E+00   0.2061064E+00   0.3786679E-05
  3.186441   0.0000000E+00   0.1980223E+00   0.1765075E-04
  3.385593   0.0000000E+00   0.1898913E+00   0.7143199E-04
  3.584746   0.0000000E+00   0.1815384E+00   0.2533826E-03
  3.783898   0.0000000E+00   0.1729850E+00   0.7957933E-03
  3.983051   0.0000000E+00   0.1643154E+00   0.2261099E-02
  4.182203   0.0000000E+00   0.1556071E+00   0.5850898E-02
  4.381356   0.0000000E+00   0.1468508E+00   0.1383850E-01
  4.580508   0.0000000E+00   0.1380318E+00   0.3013479E-01
  4.779661   0.0000000E+00   0.1291596E+00   0.6061248E-01
  4.978814   0.0000000E+00   0.1200909E+00   0.1126030E+00
  5.177966   0.0000000E+00   0.1107284E+00   0.1919368E+00
  5.377119   0.0000000E+00   0.1009441E+00   0.7104620E+00
  5.576271   0.0000000E+00   0.9053237E-01   0.2670112E+01
  5.775424   0.0000000E+00   0.7908460E-01   0.1222320E+01
  5.974576   0.0000000E+00   0.6671323E-01   0.0000000E+00
  6.173729   0.0000000E+00   0.5266858E-01   0.0000000E+00
  6.372881   0.0000000E+00   0.3652139E-01   0.0000000E+00
  6.572034   0.0000000E+00   0.0000000E+00   0.0000000E+00
  6.771186   0.0000000E+00   0.0000000E+00   0.0000000E+00
  6.970339   0.0000000E+00   0.0000000E+00   0.0000000E+00
  7.169492   0.0000000E+00   0.0000000E+00   0.0000000E+00
  7.368644   0.0000000E+00   0.0000000E+00   0.0000000E+00
  7.567797   0.0000000E+00   0.0000000E+00   0.0000000E+00
