0.1 1.55446
0.12 1.50517
0.175 1.47791
0.19 1.46195
0.22 1.51349
0.24 1.48011
0.28 1.5419
0.325 1.54791
0.35 1.53252
0.4 1.57571
0.425 1.54963
0.45 1.57695
0.52 1.54408
0.722222 1.65696
0.78 1.70076
0.9 1.67232
0.96 1.71468
0.98 1.71272
1.03333 1.73798
1.05 1.73607
1.175 1.79316
1.45 1.93641
1.65 1.94722
1.75 1.94412
2.05 1.97782
3.425 1.82443
4.875 1.70271
5.7 1.59435
5.75 1.59613
7 1.45077
7.25 1.44969
7.5 1.45343
7.75 1.44066
8 1.45107
12 1.19008
13 1.15768
14.25 1.07173
16.1 0.998322
19.25 0.687913
20 0.604299
