E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)
0.149871  0.419101  0.0227749  5.43422
0.168158  0.425977  0.0192484  4.51865
0.188677  0.43147  0.0158421  3.67166
0.211699  0.435256  0.0130333  2.99439
0.23753  0.45468  0.0112953  2.48423
0.266513  0.465271  0.0111353  2.39329
0.299033  0.477477  0.0122479  2.56513
0.33552  0.467779  0.0134916  2.88418
0.37646  0.479716  0.0152386  3.17658
0.422396  0.445007  0.0171366  3.85086
0.473936  0.525981  0.0208201  3.95833
0.531764  0.537257  0.0225673  4.20046
0.596649  0.522997  0.0223589  4.27516
0.669451  0.525093  0.0217166  4.13577
0.751137  0.507748  0.0205864  4.05445
0.84279  0.565021  0.0204981  3.62784
0.945626  0.529634  0.0187122  3.53305
1.06101  0.518166  0.0177158  3.41894
1.19048  0.494768  0.0162473  3.28381
1.33574  0.469324  0.0148972  3.17419
1.49871  0.452817  0.0139124  3.07242
1.68159  0.399593  0.0124527  3.11635
1.88677  0.370362  0.0115014  3.10544
2.11699  0.356236  0.0109188  3.06505
