E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)
0.0106101  -0.00893593  0.224407  -2511.29
0.0119047  0.217944  0.214742  98.5306
0.0133574  0.216107  0.195687  90.5509
0.0149871  0.0911803  0.172186  188.841
0.0168159  0.224476  0.162356  72.3268
0.0188677  0.209781  0.146861  70.0069
0.0211699  0.0437209  0.131262  300.227
0.023753  0.306865  0.113288  36.9178
0.0266513  0.223899  0.104783  46.7991
0.0299033  0.16449  0.0941946  57.2646
0.033552  0.231699  0.0880786  38.0142
0.037646  0.267194  0.0826281  30.9243
0.0422396  0.206935  0.0736572  35.5944
0.0473935  0.267758  0.0698286  26.079
0.0531764  0.290302  0.0654902  22.5593
0.0596649  0.271442  0.0613721  22.6097
0.0669452  0.362955  0.0607018  16.7243
0.0751137  0.306158  0.0556387  18.1732
0.0842789  0.343436  0.055355  16.118
0.0945625  0.302591  0.0514126  16.9908
0.106101  0.384601  0.0454265  11.8113
0.119048  0.403522  0.0402188  9.96694
0.133574  0.393063  0.0354054  9.00758
0.149871  0.409859  0.0317943  7.75736
0.168158  0.461651  0.0267822  5.8014
0.188677  0.497822  0.0220262  4.42451
0.211699  0.512391  0.0179815  3.50934
0.23753  0.509846  0.0150909  2.95989
0.266513  0.530172  0.0149063  2.8116
0.299033  0.502911  0.0159105  3.16368
0.33552  0.530959  0.0180874  3.40656
0.37646  0.540649  0.0204543  3.78328
0.422396  0.570668  0.0241896  4.23881
0.473936  0.539656  0.0272351  5.04675
0.531764  0.594944  0.0301175  5.06225
0.596649  0.534093  0.0289939  5.42861
0.669451  0.668533  0.0301769  4.5139
0.751137  0.582089  0.0274278  4.71196
0.84279  0.488927  0.0244117  4.99291
0.945626  0.503779  0.0230336  4.57215
1.06101  0.516939  0.022182  4.29103
1.19048  0.487821  0.0202381  4.14866
1.33574  0.456244  0.0184281  4.03908
1.49871  0.432034  0.0170257  3.94083
1.68159  0.398729  0.0156455  3.92386
1.88677  0.323071  0.0135407  4.19125
2.11699  0.301187  0.0126291  4.19311
