E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)
0.0106101  0.168552  0.212129  125.854
0.0119047  0.148612  0.199823  134.459
0.0133574  0.220194  0.181461  82.4096
0.0149871  0.0564789  0.159287  282.029
0.0168159  0.155729  0.149354  95.9059
0.0188677  0.203112  0.135086  66.5082
0.0211699  0.198444  0.121892  61.4238
0.023753  0.158508  0.102942  64.9445
0.0266513  0.150057  0.0954391  63.6018
0.0299033  0.209088  0.0864009  41.3227
0.033552  0.23419  0.0803856  34.3249
0.037646  0.24279  0.0754871  31.0915
0.0422396  0.164456  0.0676822  41.1553
0.0473935  0.199462  0.0641827  32.1779
0.0531764  0.235324  0.0605416  25.7269
0.0596649  0.27317  0.0575316  21.0607
0.0669452  0.276476  0.0559774  20.2467
0.0751137  0.319746  0.0527019  16.4824
0.0842789  0.304218  0.0521162  17.1312
0.0945625  0.320374  0.0493536  15.405
0.106101  0.301798  0.042251  13.9998
0.119048  0.344496  0.0373552  10.8434
0.133574  0.348739  0.0328509  9.41991
0.149871  0.376864  0.0293691  7.79303
0.168158  0.428793  0.024276  5.66148
0.188677  0.444839  0.01931  4.34091
0.211699  0.470531  0.0155163  3.29763
0.23753  0.486324  0.0129534  2.66354
0.266513  0.456675  0.0122307  2.67821
0.299033  0.456514  0.0133713  2.92901
0.33552  0.494242  0.0153606  3.1079
0.37646  0.488652  0.0172615  3.53247
0.422396  0.488077  0.0201809  4.13477
0.473936  0.516504  0.0236304  4.57505
0.531764  0.561219  0.0259155  4.61772
0.596649  0.576114  0.0258554  4.48789
0.669451  0.545188  0.0242943  4.45613
0.751137  0.53954  0.0228724  4.23925
0.84279  0.551049  0.0216083  3.9213
0.945626  0.536491  0.0197803  3.68698
1.06101  0.515373  0.0183923  3.56875
1.19048  0.508842  0.0169571  3.3325
1.33574  0.45671  0.0150694  3.29957
1.49871  0.437632  0.0139402  3.18537
1.68159  0.410662  0.0128496  3.12901
1.88677  0.366697  0.0116196  3.16871
2.11699  0.336081  0.0107286  3.19228
