E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)
0.0106101  0.171082  0.259131  151.466
0.0119047  0.0247506  0.243504  983.83
0.0133574  0.105099  0.221073  210.347
0.0149871  0.105328  0.194501  184.662
0.0168159  0.373101  0.183334  49.1378
0.0188677  0.221354  0.163409  73.8224
0.0211699  0.249054  0.147065  59.0494
0.023753  0.154753  0.123358  79.713
0.0266513  0.161517  0.11442  70.8406
0.0299033  0.181577  0.103376  56.9326
0.033552  0.260792  0.0967745  37.1078
0.037646  0.229687  0.090289  39.3095
0.0422396  0.175094  0.08102  46.2723
0.0473935  0.212989  0.0770083  36.1561
0.0531764  0.255546  0.0729958  28.5647
0.0596649  0.223039  0.0687017  30.8026
0.0669452  0.212793  0.0669219  31.4492
0.0751137  0.225142  0.0628053  27.8959
0.0842789  0.360117  0.0645771  17.9322
0.0945625  0.278024  0.0600604  21.6026
0.106101  0.382259  0.053617  14.0263
0.119048  0.376259  0.0472514  12.5582
0.133574  0.462357  0.0433721  9.38066
0.149871  0.429718  0.0383493  8.92428
0.168158  0.458415  0.0318242  6.94223
0.188677  0.451331  0.0254005  5.62791
0.211699  0.476305  0.0207135  4.34879
0.23753  0.485378  0.0174263  3.59025
0.266513  0.453165  0.0165405  3.65
0.299033  0.508815  0.0188662  3.70788
0.33552  0.460939  0.020413  4.42856
0.37646  0.440145  0.0228554  5.19268
0.422396  0.482127  0.0275049  5.70492
0.473936  0.481763  0.0318268  6.60633
0.531764  0.504373  0.0345462  6.84933
0.596649  0.522791  0.034677  6.63304
0.669451  0.538799  0.0335396  6.22489
0.751137  0.531182  0.0316315  5.95493
0.84279  0.559216  0.0303055  5.41929
0.945626  0.532888  0.0276593  5.19045
1.06101  0.565066  0.0267949  4.74191
1.19048  0.462086  0.0228997  4.95572
1.33574  0.464622  0.0213377  4.59248
1.49871  0.425958  0.0193115  4.53366
1.68159  0.407261  0.0179856  4.41624
1.88677  0.389692  0.0168103  4.31375
2.11699  0.355582  0.0155  4.35906
