E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)
0.0106101  0.129601  0.214443  165.465
0.0119047  0.0138552  0.201102  1451.45
0.0133574  0.0579481  0.181466  313.153
0.0149871  -0.00213309  0.159061  -7456.82
0.0168159  0.145902  0.148717  101.93
0.0188677  0.119407  0.133648  111.926
0.0211699  0.0585593  0.120037  204.984
0.023753  0.160886  0.102018  63.41
0.0266513  0.181896  0.0948844  52.1642
0.0299033  0.171192  0.0855758  49.9883
0.033552  0.136629  0.079172  57.9467
0.037646  0.23386  0.0748799  32.0191
0.0422396  0.164608  0.0670781  40.7502
0.0473935  0.185106  0.0633812  34.2405
0.0531764  0.281318  0.060304  21.4363
0.0596649  0.221064  0.0563758  25.502
0.0669452  0.329428  0.0559551  16.9855
0.0751137  0.285459  0.0517881  18.1421
0.0842789  0.272038  0.0512247  18.83
0.0945625  0.358784  0.0492466  13.726
0.106101  0.333101  0.0421641  12.6581
0.119048  0.362017  0.037208  10.278
0.133574  0.386201  0.0330058  8.54629
0.149871  0.430288  0.0297696  6.91851
0.168158  0.439151  0.0242288  5.51718
0.188677  0.460368  0.0193546  4.20415
0.211699  0.464333  0.0153377  3.30317
0.23753  0.492921  0.0128982  2.61668
0.266513  0.485634  0.0123896  2.55123
0.299033  0.486692  0.0135584  2.78582
0.33552  0.497643  0.0152931  3.0731
0.37646  0.525269  0.017562  3.34343
0.422396  0.49645  0.0202223  4.07339
0.473936  0.483425  0.0232151  4.80221
0.531764  0.590968  0.0262402  4.4402
0.596649  0.5649  0.0256257  4.53633
0.669451  0.551968  0.0242669  4.39643
0.751137  0.544329  0.0227765  4.18433
0.84279  0.555417  0.021454  3.86269
0.945626  0.52649  0.0193936  3.68357
1.06101  0.557504  0.0186955  3.35344
1.19048  0.481829  0.0162673  3.37616
1.33574  0.468098  0.0149329  3.19012
1.49871  0.424537  0.0134423  3.16635
1.68159  0.397456  0.0123564  3.10887
1.88677  0.368457  0.0113674  3.08513
2.11699  0.32165  0.01024  3.18357
