E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)
0.0106101  0.0331735  0.23108  696.581
0.0119047  -0.0290428  0.2157  -742.698
0.0133574  0.123633  0.193815  156.766
0.0149871  0.172585  0.169198  98.0374
0.0168159  0.081336  0.155968  191.757
0.0188677  0.262135  0.139995  53.4056
0.0211699  0.195507  0.124774  63.8206
0.023753  0.25066  0.105074  41.9191
0.0266513  0.138277  0.096236  69.5966
0.0299033  0.123293  0.0861036  69.8367
0.033552  0.187962  0.0797814  42.4455
0.037646  0.184126  0.0742753  40.3394
0.0422396  0.180057  0.0667279  37.0594
0.0473935  0.236548  0.0630762  26.6653
0.0531764  0.22648  0.0587873  25.9569
0.0596649  0.256034  0.0555017  21.6775
0.0669452  0.35509  0.0547663  15.4232
0.0751137  0.311749  0.0504745  16.1908
0.0842789  0.296174  0.0496779  16.7732
0.0945625  0.357954  0.0473238  13.2206
0.106101  0.298009  0.0400071  13.4248
0.119048  0.370562  0.0356576  9.62257
0.133574  0.369039  0.0312685  8.47293
0.149871  0.399794  0.0279607  6.99379
0.168158  0.410213  0.0226567  5.52316
0.188677  0.442062  0.0181351  4.10238
0.211699  0.445844  0.014325  3.213
0.23753  0.465966  0.0119544  2.5655
0.266513  0.460712  0.0114794  2.49167
0.299033  0.466926  0.0125976  2.69798
0.33552  0.46684  0.0140902  3.01822
0.37646  0.47258  0.0159577  3.37673
0.422396  0.475894  0.0187145  3.9325
0.473936  0.505064  0.0219282  4.34166
0.531764  0.500545  0.0234497  4.68483
0.596649  0.51277  0.0233166  4.54719
0.669451  0.523547  0.0223306  4.26526
0.751137  0.547924  0.0213342  3.89364
0.84279  0.54483  0.019868  3.64664
0.945626  0.52258  0.0179507  3.43503
1.06101  0.542872  0.0171128  3.15226
1.19048  0.513345  0.0154085  3.00159
1.33574  0.47116  0.0137673  2.92199
1.49871  0.446474  0.0126525  2.83387
1.68159  0.417593  0.0116176  2.78205
1.88677  0.38319  0.0106445  2.77785
2.11699  0.34201  0.00968329  2.83129
