#  n+238U
# Incident Energy =   16.25556
# Particle spectrum from Pre-equilibrium emission from 239U
# num energy points =  128
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.201087   0.0000000E+00   0.1800430E-01   0.6865983E-11
  0.402175   0.0000000E+00   0.3452083E-01   0.6402500E-11
  0.603262   0.0000000E+00   0.4579629E-01   0.5974770E-11
  0.804350   0.0000000E+00   0.5845260E-01   0.5579911E-11
  1.005437   0.0000000E+00   0.7667909E-01   0.5215262E-11
  1.206525   0.0000000E+00   0.9675957E-01   0.4878374E-11
  1.407612   0.0000000E+00   0.1110748E+00   0.4566986E-11
  1.608700   0.0000000E+00   0.1177339E+00   0.4279019E-11
  1.809787   0.0000000E+00   0.1194650E+00   0.4012558E-11
  2.010875   0.0000000E+00   0.1182540E+00   0.3763815E-11
  2.211962   0.0000000E+00   0.1155680E+00   0.3561401E-11
  2.413050   0.0000000E+00   0.1125093E+00   0.3897115E-11
  2.614137   0.0000000E+00   0.1096797E+00   0.8991289E-11
  2.815224   0.0000000E+00   0.1072237E+00   0.4504193E-10
  3.016312   0.0000000E+00   0.1049736E+00   0.2452162E-09
  3.217399   0.0000000E+00   0.1027851E+00   0.1179422E-08
  3.418487   0.0000000E+00   0.1005852E+00   0.4897175E-08
  3.619574   0.0000000E+00   0.9836107E-01   0.1785263E-07
  3.820662   0.0000000E+00   0.9617008E-01   0.5810529E-07
  4.021749   0.0000000E+00   0.9407309E-01   0.1711441E-06
  4.222837   0.0000000E+00   0.9213022E-01   0.4616644E-06
  4.423924   0.0000000E+00   0.9036388E-01   0.1150832E-05
  4.625012   0.0000000E+00   0.8880358E-01   0.2668536E-05
  4.826099   0.0000000E+00   0.8746112E-01   0.5816770E-05
  5.027187   0.0000000E+00   0.8634740E-01   0.1198194E-04
  5.228274   0.0000000E+00   0.8545829E-01   0.2420081E-04
  5.429361   0.0000000E+00   0.8478633E-01   0.2357723E-03
  5.630449   0.0000000E+00   0.8429067E-01   0.2809696E-03
  5.831536   0.0000000E+00   0.8395417E-01   0.4714323E-03
  6.032624   0.0000000E+00   0.8367383E-01   0.6013784E-03
  6.233711   0.0000000E+00   0.8342795E-01   0.1053033E-02
  6.434799   0.0000000E+00   0.8311152E-01   0.1536867E-02
  6.635886   0.0000000E+00   0.8269201E-01   0.2406523E-02
  6.836974   0.0000000E+00   0.8210432E-01   0.3548101E-02
  7.038061   0.0000000E+00   0.8131546E-01   0.5077313E-02
  7.239149   0.0000000E+00   0.8033315E-01   0.7231175E-02
  7.440236   0.0000000E+00   0.7917964E-01   0.1000656E-01
  7.641324   0.0000000E+00   0.7784352E-01   0.1367108E-01
  7.842411   0.0000000E+00   0.7640783E-01   0.1827850E-01
  8.043498   0.0000000E+00   0.7485976E-01   0.2404405E-01
  8.244586   0.0000000E+00   0.7322048E-01   0.3119741E-01
  8.445673   0.0000000E+00   0.7154128E-01   0.3991170E-01
  8.646761   0.0000000E+00   0.6981281E-01   0.5033094E-01
  8.847848   0.0000000E+00   0.6805739E-01   0.6258310E-01
  9.048936   0.0000000E+00   0.6630050E-01   0.7677003E-01
  9.250023   0.0000000E+00   0.6453813E-01   0.9300409E-01
  9.451111   0.0000000E+00   0.6278094E-01   0.1113039E+00
  9.652198   0.0000000E+00   0.6103825E-01   0.1316423E+00
  9.853286   0.0000000E+00   0.5930635E-01   0.1537374E+00
 10.054373   0.0000000E+00   0.5758634E-01   0.1773313E+00
