# Pre-equilibrium particle emission
# num energy points =  104
# Energy            xs (b)         prob
#  E (MeV)      xs_tot (b)               g               n               p               g               n               p
    9.1879   0.5421902E+00   0.0000000E+00   0.5421900E+00   0.1165889E-06   0.0000000E+00   0.1183062E+00   0.2543978E-07
    9.3899   0.5571763E+00   0.0000000E+00   0.5571761E+00   0.1973176E-06   0.0000000E+00   0.1218603E+00   0.4315544E-07
    9.5918   0.5722104E+00   0.0000000E+00   0.5722101E+00   0.3332733E-06   0.0000000E+00   0.1254071E+00   0.7304108E-07
    9.7937   0.5872638E+00   0.0000000E+00   0.5872633E+00   0.5398422E-06   0.0000000E+00   0.1289440E+00   0.1185319E-06
    9.9957   0.6023716E+00   0.0000000E+00   0.6023707E+00   0.8642244E-06   0.0000000E+00   0.1324688E+00   0.1900536E-06
   10.1976   0.6175788E+00   0.0000000E+00   0.6175774E+00   0.1355174E-05   0.0000000E+00   0.1359792E+00   0.2983844E-06
   10.3995   0.6328678E+00   0.0000000E+00   0.6328657E+00   0.2079625E-05   0.0000000E+00   0.1394735E+00   0.4583163E-06
   10.6014   0.6482303E+00   0.0000000E+00   0.6482272E+00   0.3137721E-05   0.0000000E+00   0.1429503E+00   0.6919459E-06
   10.8034   0.6636469E+00   0.0000000E+00   0.6636422E+00   0.4649066E-05   0.0000000E+00   0.1464082E+00   0.1025645E-05
   11.0053   0.6790443E+00   0.0000000E+00   0.6790375E+00   0.6777299E-05   0.0000000E+00   0.1498460E+00   0.1495575E-05
   11.2072   0.6943917E+00   0.0000000E+00   0.6943819E+00   0.9720547E-05   0.0000000E+00   0.1532630E+00   0.2145506E-05
   11.4092   0.7096425E+00   0.0000000E+00   0.7096288E+00   0.1372880E-04   0.0000000E+00   0.1566585E+00   0.3030786E-05
   11.6111   0.7247678E+00   0.0000000E+00   0.7247487E+00   0.1911476E-04   0.0000000E+00   0.1600318E+00   0.4220732E-05
   11.8130   0.7397098E+00   0.0000000E+00   0.7396835E+00   0.2625763E-04   0.0000000E+00   0.1633825E+00   0.5799830E-05
   12.0150   0.7543951E+00   0.0000000E+00   0.7543595E+00   0.3560833E-04   0.0000000E+00   0.1667103E+00   0.7869292E-05
   12.2169   0.7687659E+00   0.0000000E+00   0.7687182E+00   0.4769698E-04   0.0000000E+00   0.1700148E+00   0.1054898E-04
   12.4188   0.7828940E+00   0.0000000E+00   0.7828309E+00   0.6314913E-04   0.0000000E+00   0.1732956E+00   0.1397935E-04
   12.6208   0.7967758E+00   0.0000000E+00   0.7966931E+00   0.8268951E-04   0.0000000E+00   0.1765526E+00   0.1832455E-04
   12.8227   0.8102980E+00   0.0000000E+00   0.8101909E+00   0.1071349E-03   0.0000000E+00   0.1797853E+00   0.2377376E-04
   13.0246   0.8234215E+00   0.0000000E+00   0.8232841E+00   0.1374147E-03   0.0000000E+00   0.1829935E+00   0.3054353E-04
   13.2266   0.8362385E+00   0.0000000E+00   0.8360639E+00   0.1745769E-03   0.0000000E+00   0.1861770E+00   0.3887525E-04
   13.4285   0.8490065E+00   0.0000000E+00   0.8487867E+00   0.2198359E-03   0.0000000E+00   0.1893353E+00   0.4903788E-04
   13.6304   0.8614945E+00   0.0000000E+00   0.8612201E+00   0.2744234E-03   0.0000000E+00   0.1924681E+00   0.6132899E-04
   13.8324   0.8736909E+00   0.0000000E+00   0.8733512E+00   0.3396972E-03   0.0000000E+00   0.1955751E+00   0.7607055E-04
   14.0343   0.8855887E+00   0.0000000E+00   0.8851717E+00   0.4170743E-03   0.0000000E+00   0.1986560E+00   0.9360253E-04
   14.2362   0.8975157E+00   0.0000000E+00   0.8970074E+00   0.5082479E-03   0.0000000E+00   0.2017104E+00   0.1142899E-03
   14.4382   0.9094182E+00   0.0000000E+00   0.9088033E+00   0.6148628E-03   0.0000000E+00   0.2047381E+00   0.1385183E-03
   14.6401   0.9212128E+00   0.0000000E+00   0.9204743E+00   0.7385027E-03   0.0000000E+00   0.2077388E+00   0.1666702E-03
   14.8420   0.9329128E+00   0.0000000E+00   0.9320319E+00   0.8808388E-03   0.0000000E+00   0.2107121E+00   0.1991385E-03
   15.0440   0.9445343E+00   0.0000000E+00   0.9434908E+00   0.1043571E-02   0.0000000E+00   0.2136580E+00   0.2363216E-03
   15.2459   0.9563104E+00   0.0000000E+00   0.9550817E+00   0.1228680E-02   0.0000000E+00   0.2165763E+00   0.2786180E-03
   15.4478   0.9681588E+00   0.0000000E+00   0.9667211E+00   0.1437707E-02   0.0000000E+00   0.2194668E+00   0.3263908E-03
   15.6498   0.9800665E+00   0.0000000E+00   0.9783943E+00   0.1672239E-02   0.0000000E+00   0.2223294E+00   0.3799980E-03
   15.8517   0.9920543E+00   0.0000000E+00   0.9901204E+00   0.1933851E-02   0.0000000E+00   0.2251641E+00   0.4397785E-03
   16.0536   0.1004144E+01   0.0000000E+00   0.1001920E+01   0.2224061E-02   0.0000000E+00   0.2279710E+00   0.5060498E-03
   16.2556   0.1016317E+01   0.0000000E+00   0.1013773E+01   0.2544187E-02   0.0000000E+00   0.2307500E+00   0.5790955E-03
   16.4575   0.1028571E+01   0.0000000E+00   0.1025675E+01   0.2895471E-02   0.0000000E+00   0.2335014E+00   0.6591720E-03
   16.6594   0.1040932E+01   0.0000000E+00   0.1037653E+01   0.3279133E-02   0.0000000E+00   0.2362251E+00   0.7465053E-03
   16.8614   0.1053413E+01   0.0000000E+00   0.1049717E+01   0.3696264E-02   0.0000000E+00   0.2389214E+00   0.8412900E-03
   17.0633   0.1066026E+01   0.0000000E+00   0.1061878E+01   0.4147932E-02   0.0000000E+00   0.2415904E+00   0.9437059E-03
   17.2652   0.1078777E+01   0.0000000E+00   0.1074141E+01   0.4635133E-02   0.0000000E+00   0.2442325E+00   0.1053911E-02
   17.4671   0.1091354E+01   0.0000000E+00   0.1086197E+01   0.5157251E-02   0.0000000E+00   0.2468477E+00   0.1172030E-02
   17.6691   0.1103950E+01   0.0000000E+00   0.1098235E+01   0.5715613E-02   0.0000000E+00   0.2494365E+00   0.1298159E-02
   17.8710   0.1116556E+01   0.0000000E+00   0.1110246E+01   0.6310653E-02   0.0000000E+00   0.2519991E+00   0.1432367E-02
   18.0729   0.1129165E+01   0.0000000E+00   0.1122222E+01   0.6942905E-02   0.0000000E+00   0.2545357E+00   0.1574749E-02
   18.2749   0.1141768E+01   0.0000000E+00   0.1134156E+01   0.7612736E-02   0.0000000E+00   0.2570467E+00   0.1725362E-02
   18.4768   0.1154352E+01   0.0000000E+00   0.1146032E+01   0.8320359E-02   0.0000000E+00   0.2595324E+00   0.1884244E-02
   18.6787   0.1166592E+01   0.0000000E+00   0.1157529E+01   0.9063478E-02   0.0000000E+00   0.2619931E+00   0.2051413E-02
   18.8807   0.1178670E+01   0.0000000E+00   0.1168827E+01   0.9843194E-02   0.0000000E+00   0.2644291E+00   0.2226871E-02
   19.0826   0.1190565E+01   0.0000000E+00   0.1179906E+01   0.1065934E-01   0.0000000E+00   0.2668407E+00   0.2410655E-02
   19.2845   0.1202255E+01   0.0000000E+00   0.1190743E+01   0.1151155E-01   0.0000000E+00   0.2692281E+00   0.2602771E-02
   19.4865   0.1213720E+01   0.0000000E+00   0.1201321E+01   0.1239935E-01   0.0000000E+00   0.2715917E+00   0.2803214E-02
   19.6884   0.1224942E+01   0.0000000E+00   0.1211620E+01   0.1332214E-01   0.0000000E+00   0.2739317E+00   0.3011964E-02
   19.8903   0.1235963E+01   0.0000000E+00   0.1221683E+01   0.1427992E-01   0.0000000E+00   0.2762484E+00   0.3228993E-02
   20.0923   0.1246761E+01   0.0000000E+00   0.1231489E+01   0.1527205E-01   0.0000000E+00   0.2785421E+00   0.3454281E-02
   20.2942   0.1257283E+01   0.0000000E+00   0.1240986E+01   0.1629739E-01   0.0000000E+00   0.2808130E+00   0.3687808E-02
   20.4961   0.1267514E+01   0.0000000E+00   0.1250159E+01   0.1735506E-01   0.0000000E+00   0.2830613E+00   0.3929536E-02
   20.6981   0.1277438E+01   0.0000000E+00   0.1258994E+01   0.1844410E-01   0.0000000E+00   0.2852872E+00   0.4179419E-02
   20.9000   0.1287044E+01   0.0000000E+00   0.1267480E+01   0.1956348E-01   0.0000000E+00   0.2874909E+00   0.4437402E-02
