\cite{Bowman_2}
 Total Kinetic Energy (MeV) : Mass Number (A) : Average Neutron Multiplicity 
  1.81E+02 142.8  1.98 
  1.82E+02 142.8  1.73 
  1.84E+02 142.8  1.61 
  1.86E+02 142.8  1.46 
  1.88E+02 142.8  1.36 
  1.89E+02 142.8  1.27 
  1.91E+02 142.8  1.18 
  1.93E+02 142.8  1.04 
  1.94E+02 142.8  1.00 
  1.96E+02 142.8  1.00 
  1.98E+02 142.8  9.12E-01
  2.00E+02 142.8  8.44E-01
  2.01E+02 142.8  8.44E-01
  2.03E+02 142.8  8.66E-01
  2.05E+02 142.8  8.66E-01
  1.59E+02 150.4  5.06 
  1.61E+02 150.4  4.28 
  1.63E+02 150.4  4.24 
  1.64E+02 150.4  3.96 
  1.66E+02 150.4  3.76 
  1.68E+02 150.4  3.76 
  1.70E+02 150.4  3.44 
  1.71E+02 150.4  3.10 
  1.73E+02 150.4  2.66 
  1.75E+02 150.4  2.52 
  1.77E+02 150.4  2.43 
  1.79E+02 150.4  2.18 
  1.80E+02 150.4  1.97 
  1.82E+02 150.4  1.77 
  1.84E+02 150.4  1.77 
  1.86E+02 150.4  1.75 
  1.87E+02 150.4  1.52 
  1.89E+02 150.4  1.41 
  1.91E+02 150.4  1.34 
  1.93E+02 150.4  1.36 
  1.94E+02 150.4  1.25 
  1.96E+02 150.4  1.27 
  1.98E+02 150.4  9.80E-01
  2.00E+02 150.4  9.81E-01
