#  n+238U
# Incident Energy =   10.39952
# Particle spectrum from Pre-equilibrium emission from 239U
# num energy points =  128
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.201087   0.0000000E+00   0.3374512E-01   0.7582427E-08
  0.402175   0.0000000E+00   0.6313428E-01   0.6945965E-08
  0.603262   0.0000000E+00   0.8183048E-01   0.6373584E-08
  0.804350   0.0000000E+00   0.1021744E+00   0.5857725E-08
  1.005437   0.0000000E+00   0.1312852E+00   0.5391755E-08
  1.206525   0.0000000E+00   0.1624687E+00   0.4969850E-08
  1.407612   0.0000000E+00   0.1831247E+00   0.4586904E-08
  1.608700   0.0000000E+00   0.1908025E+00   0.4238438E-08
  1.809787   0.0000000E+00   0.1905207E+00   0.3920524E-08
  2.010875   0.0000000E+00   0.1857675E+00   0.3627757E-08
  2.211962   0.0000000E+00   0.1789948E+00   0.3385933E-08
  2.413050   0.0000000E+00   0.1719473E+00   0.3653757E-08
  2.614137   0.0000000E+00   0.1655187E+00   0.8309534E-08
  2.815224   0.0000000E+00   0.1598779E+00   0.4100847E-07
  3.016312   0.0000000E+00   0.1547074E+00   0.2197711E-06
  3.217399   0.0000000E+00   0.1498100E+00   0.1039518E-05
  3.418487   0.0000000E+00   0.1450187E+00   0.4239672E-05
  3.619574   0.0000000E+00   0.1402950E+00   0.1515975E-04
  3.820662   0.0000000E+00   0.1357019E+00   0.4831395E-04
  4.021749   0.0000000E+00   0.1313054E+00   0.1390653E-03
  4.222837   0.0000000E+00   0.1271688E+00   0.3657344E-03
  4.423924   0.0000000E+00   0.1233013E+00   0.8864222E-03
  4.625012   0.0000000E+00   0.1197214E+00   0.1991997E-02
  4.826099   0.0000000E+00   0.1164226E+00   0.4192085E-02
  5.027187   0.0000000E+00   0.1133964E+00   0.8299358E-02
  5.228274   0.0000000E+00   0.1106138E+00   0.1602385E-01
  5.429361   0.0000000E+00   0.1080309E+00   0.1482542E+00
  5.630449   0.0000000E+00   0.1055949E+00   0.1664434E+00
  5.831536   0.0000000E+00   0.1032433E+00   0.2604811E+00
  6.032624   0.0000000E+00   0.1008267E+00   0.3060028E+00
  6.233711   0.0000000E+00   0.9829968E-01   0.4852978E+00
  6.434799   0.0000000E+00   0.9552126E-01   0.6271854E+00
  6.635886   0.0000000E+00   0.9244232E-01   0.8422049E+00
  6.836974   0.0000000E+00   0.8898162E-01   0.1014143E+01
  7.038061   0.0000000E+00   0.8510028E-01   0.1090980E+01
  7.239149   0.0000000E+00   0.8079183E-01   0.0000000E+00
  7.440236   0.0000000E+00   0.7611222E-01   0.0000000E+00
  7.641324   0.0000000E+00   0.7102117E-01   0.0000000E+00
  7.842411   0.0000000E+00   0.6558827E-01   0.0000000E+00
  8.043498   0.0000000E+00   0.5978430E-01   0.0000000E+00
  8.244586   0.0000000E+00   0.5360185E-01   0.0000000E+00
  8.445673   0.0000000E+00   0.4691118E-01   0.0000000E+00
  8.646761   0.0000000E+00   0.3998568E-01   0.0000000E+00
  8.847848   0.0000000E+00   0.3246786E-01   0.0000000E+00
  9.048936   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.250023   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.451111   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.652198   0.0000000E+00   0.0000000E+00   0.0000000E+00
  9.853286   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.054373   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.255461   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.456548   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.657635   0.0000000E+00   0.0000000E+00   0.0000000E+00
 10.858723   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.059810   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.260898   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.461985   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.663073   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.864160   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.065248   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.266335   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.467423   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.668510   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.869598   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.070685   0.0000000E+00   0.0000000E+00   0.0000000E+00
