#  n+238U
# Incident Energy =   13.22657
# Particle spectrum from Pre-equilibrium emission from 239U
# num energy points =  128
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.201087   0.0000000E+00   0.2441623E-01   0.9888676E-10
  0.402175   0.0000000E+00   0.4625856E-01   0.9136917E-10
  0.603262   0.0000000E+00   0.6066625E-01   0.8452490E-10
  0.804350   0.0000000E+00   0.7658269E-01   0.7828811E-10
  1.005437   0.0000000E+00   0.9940830E-01   0.7259935E-10
  1.206525   0.0000000E+00   0.1241855E+00   0.6740493E-10
  1.407612   0.0000000E+00   0.1412009E+00   0.6265644E-10
  1.608700   0.0000000E+00   0.1483137E+00   0.5831023E-10
  1.809787   0.0000000E+00   0.1492073E+00   0.5432698E-10
  2.010875   0.0000000E+00   0.1465011E+00   0.5064401E-10
  2.211962   0.0000000E+00   0.1420821E+00   0.4763431E-10
  2.413050   0.0000000E+00   0.1373281E+00   0.5182212E-10
  2.614137   0.0000000E+00   0.1329685E+00   0.1188831E-09
  2.815224   0.0000000E+00   0.1291623E+00   0.5922071E-09
  3.016312   0.0000000E+00   0.1256913E+00   0.3206077E-08
  3.217399   0.0000000E+00   0.1223712E+00   0.1533378E-07
  3.418487   0.0000000E+00   0.1191063E+00   0.6330594E-07
  3.619574   0.0000000E+00   0.1158741E+00   0.2294349E-06
  3.820662   0.0000000E+00   0.1127351E+00   0.7422437E-06
  4.021749   0.0000000E+00   0.1097528E+00   0.2172478E-05
  4.222837   0.0000000E+00   0.1069892E+00   0.5821639E-05
  4.423924   0.0000000E+00   0.1044618E+00   0.1441090E-04
  4.625012   0.0000000E+00   0.1021965E+00   0.3316791E-04
  4.826099   0.0000000E+00   0.1001987E+00   0.7172443E-04
  5.027187   0.0000000E+00   0.9847280E-01   0.1464850E-03
  5.228274   0.0000000E+00   0.9700635E-01   0.2931440E-03
  5.429361   0.0000000E+00   0.9578329E-01   0.2827437E-02
  5.630449   0.0000000E+00   0.9475021E-01   0.3332941E-02
  5.831536   0.0000000E+00   0.9387836E-01   0.5526179E-02
  6.032624   0.0000000E+00   0.9305322E-01   0.6958295E-02
  6.233711   0.0000000E+00   0.9224128E-01   0.1201140E-01
  6.434799   0.0000000E+00   0.9132269E-01   0.1725659E-01
  6.635886   0.0000000E+00   0.9025959E-01   0.2655580E-01
  6.836974   0.0000000E+00   0.8897991E-01   0.3840562E-01
  7.038061   0.0000000E+00   0.8744844E-01   0.5379191E-01
  7.239149   0.0000000E+00   0.8567497E-01   0.7479651E-01
  7.440236   0.0000000E+00   0.8368495E-01   0.1007558E+00
  7.641324   0.0000000E+00   0.8146833E-01   0.1335367E+00
  7.842411   0.0000000E+00   0.7911393E-01   0.1724923E+00
  8.043498   0.0000000E+00   0.7660925E-01   0.2181386E+00
  8.244586   0.0000000E+00   0.7397517E-01   0.2704854E+00
  8.445673   0.0000000E+00   0.7126866E-01   0.3282660E+00
  8.646761   0.0000000E+00   0.6847623E-01   0.3890835E+00
  8.847848   0.0000000E+00   0.6561946E-01   0.4493541E+00
  9.048936   0.0000000E+00   0.6271976E-01   0.5040101E+00
  9.250023   0.0000000E+00   0.5977088E-01   0.5464542E+00
  9.451111   0.0000000E+00   0.5677879E-01   0.5675408E+00
  9.652198   0.0000000E+00   0.5374664E-01   0.5555976E+00
  9.853286   0.0000000E+00   0.5066453E-01   0.4952147E+00
 10.054373   0.0000000E+00   0.4752202E-01   0.0000000E+00
 10.255461   0.0000000E+00   0.4431847E-01   0.0000000E+00
 10.456548   0.0000000E+00   0.4103076E-01   0.0000000E+00
 10.657635   0.0000000E+00   0.3764246E-01   0.0000000E+00
 10.858723   0.0000000E+00   0.3413198E-01   0.0000000E+00
 11.059810   0.0000000E+00   0.3047305E-01   0.0000000E+00
 11.260898   0.0000000E+00   0.2658921E-01   0.0000000E+00
 11.461985   0.0000000E+00   0.2256875E-01   0.0000000E+00
 11.663073   0.0000000E+00   0.1825751E-01   0.0000000E+00
 11.864160   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.065248   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.266335   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.467423   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.668510   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.869598   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.070685   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.271772   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.472860   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.673947   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.875035   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.076122   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.277210   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.478297   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.679385   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.880472   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.081560   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.282647   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.483735   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.684822   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.885909   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.086997   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.288084   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.489172   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.690259   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.891347   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.092434   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.293522   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.494609   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.695697   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.896784   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.097872   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.298959   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.500046   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.701134   0.0000000E+00   0.0000000E+00   0.0000000E+00
