E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.0106101 0.229386138782 0.0788474410802 34.3732369789
0.0119047 0.211500192008 0.0751029189573 35.5096221164
0.0133574 0.150343074861 0.0681808799905 45.3501965777
0.0149871 0.171097153433 0.0612034647119 35.771176483
0.0168159 0.167188910041 0.0577885520272 34.5648237154
0.0188677 0.130607438892 0.0522872766062 40.033919239
0.0211699 0.160053792657 0.0484152083914 30.2493352939
0.023753 0.170897317178 0.0417882288595 24.4522439261
0.0266513 0.119063283645 0.0387316972183 32.5303452355
0.0299033 0.0749385957714 0.0349478097608 46.6352610442
0.033552 0.137755798437 0.0339114300484 24.6170618102
0.037646 0.125984720695 0.0321549777085 25.5229185977
0.0422396 0.119168017104 0.0295137684053 24.7665179992
0.0473935 0.0920998351613 0.027883056408 30.2748168432
0.0531764 0.211222708533 0.0287407873235 13.6068643012
0.0596649 0.168622674981 0.026843065197 15.9190127899
0.0669452 0.243511311689 0.0280120470994 11.5033863951
0.0751137 0.185473927409 0.025488271692 13.7422397035
0.0842789 0.211359945479 0.0261237750608 12.3598513435
0.0945625 0.25123389951 0.0258588114475 10.2927238314
0.106101 0.24729495838 0.0228643975821 9.24580012949
0.119048 0.213020030998 0.0198935186492 9.33880187509
0.133574 0.24393626469 0.0185112175633 7.58854678162
0.149871 0.239693957678 0.016718228896 6.97482283573
0.168158 0.270041380341 0.0144556250285 5.35311477456
0.188677 0.274759803251 0.0118961559768 4.3296566077
0.211699 0.297465896812 0.0100772849029 3.38771099843
0.23753 0.316268562311 0.00880603739868 2.78435432669
0.266513 0.323551751137 0.00870593869606 2.69074071318
0.299033 0.317534392567 0.00940301811584 2.96125973625
0.33552 0.333071059508 0.0106091382621 3.18524769992
0.37646 0.323629398357 0.0117910011761 3.64336529251
0.422396 0.328807083504 0.0137716071953 4.18835477889
0.473936 0.359407311069 0.0163329421879 4.54441011212
0.531764 0.337194325758 0.106705404717 31.6450772049
0.596649 0.316069625334 0.0809499108403 25.6114173435
0.669451 0.341246041387 0.0507621685273 14.8755333017
0.751137 0.332602665559 0.0301430358169 9.06277638102
0.84279 0.347463508347 0.0203237160285 5.84916560739
0.945626 0.327272565029 0.015539861853 4.74829347569
1.06101 0.30365702696 0.01319821113 4.34642045405
1.19048 0.284134262778 0.0116469886802 4.09911447014
1.33574 0.265126166229 0.0105094276156 3.96393451656
1.49871 0.252488852646 0.00966907948377 3.82950747426
1.68159 0.237358178331 0.00896340027434 3.77631827872
1.88677 0.215102310903 0.00813779695195 3.78322153667
2.11699 0.18911677643 0.00730816780801 3.86436779749
1.88677 0.228341713789 0.00822959638378 3.6040705166
2.11699 0.207956811524 0.00749127023671 3.6023202038
2.3753 0.184352511236 0.0066450249777 3.60452099793
2.66514 0.156864557383 0.00569148003522 3.62827660381
2.99033 0.133588717197 0.00484426488161 3.62625301242
3.3552 0.107752029267 0.00393991560106 3.65646533792
3.7646 0.0843726793218 0.0031298580059 3.7095633694
4.22396 0.0644985610414 0.00246822688515 3.82679372268
4.73935 0.0463987793422 0.00189982790107 4.09456440019
5.31764 0.0324143663611 0.00147687235425 4.55622774727
5.96649 0.0213525147547 0.001157825935 5.42243360231
6.69451 0.0130549442456 0.000933209757503 7.14832434322
7.51137 0.00738785828199 0.000778175774287 10.5331713818
8.42789 0.00402772773853 0.000664715222551 16.5034795225
9.45625 0.0022265275222 0.000563699478007 25.3174269074
10.6101 0.00127332489546 0.0004757080323 37.3595171191
11.9047 0.000640245352465 0.000404694632217 63.2093041611
13.3574 0.00059519497112 0.000337383947378 56.6846098756
14.9871 0.00365861356724 0.000461702428345 12.6196008367
