E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.0106101 -0.144285500186 0.114171719402 -79.1290318536
0.0119047 0.124422128582 0.112068808488 90.0714444972
0.0133574 0.30684346891 0.106006128987 34.5472984526
0.0149871 0.108298404406 0.0914938123132 84.4830658544
0.0168159 0.0740360936019 0.0859371099432 116.0746141
0.0188677 0.100368615013 0.0787533202069 78.464089792
0.0211699 0.242259317597 0.0745921256819 30.7901988753
0.023753 0.0819435693426 0.0612027284584 74.6888730249
0.0266513 0.0824887461326 0.0576326044775 69.8672330221
0.0299033 0.147566813144 0.0538710052413 36.5061791967
0.033552 0.144561707011 0.0506328722149 35.0250929252
0.037646 0.116365694139 0.0476189009283 40.9217693245
0.0422396 0.137208454135 0.0441441225785 32.1730339844
0.0473935 0.216973728605 0.0439916057531 20.2750840094
0.0531764 0.22700582584 0.0421660475 18.5748746068
0.0596649 0.12123308559 0.0382235870699 31.5290061982
0.0669452 0.204779619432 0.0394846702396 19.2815429334
0.0751137 0.169677832863 0.0366883475188 21.6223574404
0.0842789 0.175418472093 0.0369986882004 21.0916716803
0.0945625 0.181044527705 0.0356232626419 19.6765199664
0.106101 0.19699456724 0.0316485378775 16.0656907045
0.119048 0.165049257794 0.0275552492226 16.695167001
0.133574 0.224919800933 0.0260045107296 11.5616813735
0.149871 0.241447583128 0.0239012982795 9.8991665064
0.168158 0.24450998107 0.0199075767574 8.14182581436
0.188677 0.272993659129 0.016748506427 6.13512653754
0.211699 0.281341980261 0.0138556319319 4.92483628608
0.23753 0.301170373708 0.0120735551462 4.00887876106
0.266513 0.272784393259 0.0113663933056 4.16680484165
0.299033 0.30884023921 0.0130542702964 4.2268683413
0.33552 0.300350799308 0.0143638404284 4.78235465379
0.37646 0.29767255802 0.0162088175893 5.44518369348
0.422396 0.286073077514 0.0186825572736 6.53069398769
0.473936 0.317791632012 0.0222844028244 7.01226859979
0.531764 0.293139854384 0.0545908674691 18.6228063679
0.596649 0.325886673073 0.0440065079906 13.5036230772
0.669451 0.310102123315 0.0308904500659 9.96137973377
0.751137 0.34288336166 0.0232471561022 6.77990206047
0.84279 0.342155206346 0.0190731854375 5.57442502227
0.945626 0.335122299804 0.0167218075617 4.98976271392
1.06101 0.316553719691 0.0152197255595 4.80794399585
1.19048 0.290544073463 0.013635141362 4.69296833332
1.33574 0.275707409298 0.0125053859959 4.53574534967
1.49871 0.255126049068 0.0114026190808 4.46940605341
1.68159 0.268680087651 0.0113092330458 4.20918168691
1.88677 0.235701706989 0.0100924765967 4.28188523777
2.11699 0.197415819616 0.00881806678754 4.46674780405
1.88677 0.227123806286 0.00780280627363 3.43548587056
2.11699 0.205681828279 0.00710246163179 3.4531303476
2.3753 0.17802862494 0.00616959355845 3.46550649399
2.66514 0.153250804848 0.00533189802045 3.47919740177
2.99033 0.127519768708 0.00442620198752 3.47099279772
3.3552 0.103442574833 0.0035855830328 3.46625462348
3.7646 0.0807848529874 0.0027967325708 3.46195167458
4.22396 0.0637415819433 0.0022169353902 3.47800497353
4.73935 0.0464471289468 0.00165118386048 3.55497508224
5.31764 0.0338062916013 0.00124359497259 3.6785903265
5.96649 0.0227980955382 0.000894192843615 3.92222605663
6.69451 0.0157889347925 0.000677725843671 4.29241017571
7.51137 0.00989315689157 0.000506440953114 5.11910362551
8.42789 0.00641239449747 0.000403805009411 6.29725774935
9.45625 0.00436887651853 0.000339098948398 7.76169678772
10.6101 0.00192627488959 0.000263175414437 13.662401761
11.9047 0.000835857015302 0.000212600305135 25.4350087685
13.3574 0.000399795042337 0.000171682408978 42.9426057848
14.9871 0.00165073665225 0.000217825187883 13.195635269
