E(MeV)      PFNS    Unc.(PFNS)  Unc.(%)    
0.0106101 0.0295999314599 0.0570357644016 192.688839428
0.0119047 0.106726830696 0.0549037588971 51.4432580253
0.0133574 0.0709425149537 0.0498230715201 70.2302019495
0.0149871 0.0489394842463 0.0440325835658 89.973534139
0.0168159 0.0549535938975 0.0414523658216 75.4315830534
0.0188677 0.119016638336 0.038307856013 32.1869753243
0.0211699 0.0781476992812 0.0345406811869 44.1992297977
0.023753 0.0852160341542 0.0294727704624 34.5859447168
0.0266513 0.136865803679 0.0283829401614 20.7377879634
0.0299033 0.129435968256 0.0258976087425 20.0080465201
0.033552 0.149079314721 0.024712104929 16.5764814356
0.037646 0.110692437231 0.0228733569058 20.6638840719
0.0422396 0.117627555821 0.0210866843386 17.9266534882
0.0473935 0.162974378572 0.0209449906557 12.8517076361
0.0531764 0.167191884987 0.0200087223973 11.9675200736
0.0596649 0.164835167835 0.0191636467399 11.6259454773
0.0669452 0.161767560153 0.0188011773443 11.6223409233
0.0751137 0.192021583563 0.0183790633856 9.57135288887
0.0842789 0.168229760938 0.0179539823369 10.6722985498
0.0945625 0.205200912656 0.0178132574997 8.68088609799
0.106101 0.215399830181 0.015954527034 7.4069357532
0.119048 0.216833116281 0.0143471514733 6.61667909374
0.133574 0.221613158728 0.0130275836368 5.87852441234
0.149871 0.234914804591 0.0120207713012 5.11707694291
0.168158 0.263411584122 0.0105030745201 3.98732445846
0.188677 0.257249119973 0.00850174207867 3.30486731288
0.211699 0.277719012921 0.00722728611986 2.60237354433
0.23753 0.280594062521 0.00616718727104 2.19790369605
0.266513 0.282425786413 0.00603973561987 2.13852130734
0.299033 0.28901333161 0.00662629902472 2.29273126876
0.33552 0.287831945391 0.0072599241092 2.52227878992
0.37646 0.310553799051 0.00840255650065 2.70566855931
0.422396 0.301049422784 0.00956274922033 3.17647153477
0.473936 0.305819776774 0.0110000318087 3.59690008435
0.531764 0.308998237132 0.0875065407027 28.3194304002
0.596649 0.314119954254 0.0670258852411 21.3376719096
0.669451 0.319840154247 0.0415996444854 13.0063858252
0.751137 0.334362606889 0.0248999403867 7.44698715517
0.84279 0.337475960826 0.0166990654758 4.94822370013
0.945626 0.315258652953 0.0127776386254 4.05306515957
1.06101 0.315334947988 0.011240211703 3.56453091379
1.19048 0.298399239651 0.0100183067298 3.35734995219
1.33574 0.284257584358 0.00918594433119 3.23155646029
1.49871 0.263197456903 0.00834628019432 3.17110974115
1.68159 0.256680173597 0.00788285540755 3.07108075279
1.88677 0.227538148426 0.00709039848352 3.11613614358
2.11699 0.207421431386 0.00646045553497 3.11465189098
1.88677 0.233220926699 0.0082661696028 3.54435158105
2.11699 0.210533288156 0.00747944977725 3.55262098586
2.3753 0.185528670206 0.00660411536291 3.55961984505
2.66514 0.16106298035 0.0057563609023 3.57398136418
2.99033 0.135794246495 0.00485142246842 3.57262740774
3.3552 0.108909551152 0.00391526734468 3.59497151837
3.7646 0.0836070828666 0.00304602981152 3.64326765997
4.22396 0.0635285968067 0.00237812923171 3.74339958892
4.73935 0.0462590368811 0.00182954157223 3.95499278753
5.31764 0.0314445206881 0.00138251923159 4.39669360937
5.96649 0.0204001973339 0.00106363013062 5.21382275479
6.69451 0.0119885582854 0.000840456304601 7.01048687082
7.51137 0.00736685905924 0.000705748142202 9.58004132462
8.42789 0.00396878989807 0.000598526958146 15.0808426124
9.45625 0.00208621944704 0.000505741641873 24.2420155075
10.6101 0.00100390373322 0.000424913946944 42.3261646395
11.9047 0.000795470207648 0.000366803511034 46.1115334688
13.3574 0.000337836331715 0.000299472056587 88.6441239363
14.9871 0.00338002535493 0.000427581435308 12.6502434275
