\cite{Zakharova}
Total Kinetic Energy (MeV) : Energy (MeV) : Mass Number (A) : Average Neutron Multiplicity : error 
  150.       152.5      142.5      2.0             6.
  150.       152.5      144.       2.3             6.
  150.       152.5      145.5      3.0             5.
  150.       152.5      147.      3.2              5.
  150.       152.5      148.5      3.1             5.
  150.       152.5      150.       3.8             5.
  150.       152.5      151.5      3.9             5.
  150.       152.5      153.       3.4             5.
  150.       152.5      154.5      3.5             5.
  150.       152.5      156.       4.4             5.
  150.       152.5      157.5      3.7             5.
  150.       152.5      159.       3.5             6.
  150.       152.5      160.5      3.8             6.
  150.       152.5      162.       4.1             7.
  150.       152.5      163.5      4.8             8.
  150.       152.5      165.       5.3            13.

  160.       162.5       78.        0.3            25.
  160.       162.5       79.5       0.6            16.
  160.       162.5       81.        1.0            10.
  160.       162.5       82.5       0.9             9.
  160.       162.5       84.        1.0             7.
  160.       162.5       85.5       1.1             6.
  160.       162.5       87.        1.3             5.
  160.       162.5       88.5      1.2              5.
  160.       162.5       90.        1.4             4.
  160.       162.5       91.5      1.4              4.
  160.       162.5       93.        1.5             3.
  160.       162.5       94.5       1.8             3.
  160.       162.5       96.        2.1             3.
  160.       162.5       97.5       1.8             3.
  160.       162.5       99.        1.8             2.
  160.       162.5      100.5       1.8             2.
  160.       162.5      102.        2.2             2.
  160.       162.5      103.5       2.9             3.
  160.       162.5      105.        3.1             3.
  160.       162.5      106.5       3.3             3.
  160.       162.5      108.        2.7             3.
  160.       162.5      109.5       3.8             3.
  160.       162.5      111.        4.0             3.
  160.       162.5      112.5       4.0             4.
  160.       162.5      114.        4.4             4.
  160.       162.5      115.5       4.6             5.
  160.       162.5      117.        4.6             5.
  160.       162.5      118.5       4.7             5.
  160.       162.5      120.        4.3             6.
  160.       162.5      121.5       4.3             6.
  160.       162.5      123.        3.9             7.
  160.       162.5      124.5       2.5             7.
  160.       162.5      126.        3.1             7.
  160.       162.5      127.5       2.5             7.
  160.       162.5      129.        2.2             6.
  160.       162.5      130.5       2.1             6.
  160.       162.5      132.        2.1             5.
  160.       162.5      133.5       1.9             5.
  160.       162.5      135.        1.9             4.
  160.       162.5      136.5       2.0             4.
  160.       162.5      138.        2.1             3.
  160.       162.5      139.5       2.1             3.
  160.       162.5      141.        2.0             3.
  160.       162.5      142.5       2.0             3.
  160.       162.5      144.        2.4             3.
  160.       162.5      145.5       2.6             2.
  160.       162.5      147.        2.4             2.
  160.       162.5      148.5       2.7             2.
  160.       162.5      150.        2.9             2.
