E(MeV)      PFNS        Uncertainty
 3.0000E-01 1.0500E+02 2.0000E+00
 5.0000E-01 1.2900E+02 2.0000E+00
 7.0000E-01 1.4200E+02 2.0000E+00
 9.0000E-01 1.3600E+02 2.0000E+00
 1.2500E+00 1.1300E+02 1.0000E+00
 1.7500E+00 8.6800E+01 9.0000E-01
 2.2500E+00 6.8400E+01 9.0000E-01
 2.7500E+00 5.1200E+01 8.0000E-01
 3.5000E+00 2.9900E+01 6.0000E-01
 4.5000E+00 1.4200E+01 4.0000E-01
 5.5000E+00 6.6000E+00 5.0000E-01
 6.5000E+00 3.0000E+00 3.0000E-01
 7.5000E+00 1.6000E+00 2.0000E-01
