   0.0000E+00   0.0000E+00
   5.0000E-01   0.0000E+00
   1.0000E+00   0.0000E+00
   1.5000E+00   0.0000E+00
   2.0000E+00   0.0000E+00
   2.5000E+00   0.0000E+00
   3.0000E+00   0.0000E+00
   3.5000E+00   0.0000E+00
   4.0000E+00   0.0000E+00
   4.5000E+00   0.0000E+00
   5.0000E+00   2.5439E-02
   5.5000E+00   7.9374E-02
   6.0000E+00   1.7913E-01
   6.5000E+00   3.5474E-01
   7.0000E+00   4.5168E-01
   7.5000E+00   5.1072E-01
   8.0000E+00   5.3910E-01
   8.5000E+00   5.5454E-01
   9.0000E+00   5.6150E-01
   9.5000E+00   5.6746E-01
   1.0000E+01   5.7170E-01
   1.0500E+01   5.6758E-01
   1.1000E+01   5.6464E-01
   1.1500E+01   5.5664E-01
   1.2000E+01   5.3960E-01
   1.2500E+01   5.0318E-01
   1.3000E+01   4.7002E-01
   1.3500E+01   4.4055E-01
   1.4000E+01   4.1370E-01
   1.4500E+01   4.0065E-01
   1.5000E+01   3.9071E-01
   1.5500E+01   3.8380E-01
   1.6000E+01   3.7823E-01
   1.6500E+01   3.7795E-01
   1.7000E+01   3.7850E-01
   1.7500E+01   3.8207E-01
   1.8000E+01   3.8582E-01
   1.8500E+01   3.8733E-01
   1.9000E+01   3.8888E-01
   1.9500E+01   3.8606E-01
   2.0000E+01   3.8330E-01
