# n+239Pu
# Incident Energy =   11.70000
# Particle spectrum from Pre-equilibrium emission from 240P
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199167   0.0000000E+00   0.3181564E-01   0.6131103E-10
  0.398333   0.0000000E+00   0.5740779E-01   0.5627174E-10
  0.597500   0.0000000E+00   0.7259660E-01   0.5171016E-10
  0.796667   0.0000000E+00   0.9106544E-01   0.4757859E-10
  0.995833   0.0000000E+00   0.1171487E+00   0.4383393E-10
  1.195000   0.0000000E+00   0.1409560E+00   0.4043730E-10
  1.394167   0.0000000E+00   0.1542506E+00   0.3735366E-10
  1.593333   0.0000000E+00   0.1589823E+00   0.3455141E-10
  1.792500   0.0000000E+00   0.1583601E+00   0.3200216E-10
  1.991667   0.0000000E+00   0.1544734E+00   0.2967676E-10
  2.190833   0.0000000E+00   0.1492281E+00   0.2755676E-10
  2.390000   0.0000000E+00   0.1438449E+00   0.2649735E-10
  2.589167   0.0000000E+00   0.1390130E+00   0.3658733E-10
  2.788333   0.0000000E+00   0.1347551E+00   0.1205457E-09
  2.987500   0.0000000E+00   0.1308790E+00   0.6093778E-09
  3.186667   0.0000000E+00   0.1272729E+00   0.2973294E-08
  3.385833   0.0000000E+00   0.1238715E+00   0.1276128E-07
  3.585000   0.0000000E+00   0.1206687E+00   0.4798277E-07
  3.784167   0.0000000E+00   0.1176661E+00   0.1605567E-06
  3.983333   0.0000000E+00   0.1148875E+00   0.4854155E-06
  4.182500   0.0000000E+00   0.1123643E+00   0.1342844E-05
  4.381667   0.0000000E+00   0.1101044E+00   0.3440887E-05
  4.580833   0.0000000E+00   0.1080874E+00   0.8207443E-05
  4.780000   0.0000000E+00   0.1063025E+00   0.1832455E-04
  4.979167   0.0000000E+00   0.1047664E+00   0.3865928E-04
  5.178333   0.0000000E+00   0.1034571E+00   0.7735330E-04
  5.377500   0.0000000E+00   0.1023222E+00   0.1527468E-03
  5.576667   0.0000000E+00   0.1013241E+00   0.1384634E-02
  5.775833   0.0000000E+00   0.1004016E+00   0.2042832E-02
  5.975000   0.0000000E+00   0.9945982E-01   0.2912436E-02
  6.174167   0.0000000E+00   0.9841133E-01   0.4395430E-02
  6.373333   0.0000000E+00   0.9717501E-01   0.6416490E-02
  6.572500   0.0000000E+00   0.9567271E-01   0.9662821E-02
  6.771667   0.0000000E+00   0.9387524E-01   0.1304221E-01
  6.970833   0.0000000E+00   0.9174944E-01   0.1906480E-01
  7.170000   0.0000000E+00   0.8929497E-01   0.2738706E-01
  7.369167   0.0000000E+00   0.8658803E-01   0.3842857E-01
  7.568333   0.0000000E+00   0.8360549E-01   0.5218775E-01
  7.767500   0.0000000E+00   0.8040049E-01   0.6963278E-01
  7.966667   0.0000000E+00   0.7701202E-01   0.9119609E-01
  8.165833   0.0000000E+00   0.7343584E-01   0.1167464E+00
  8.365000   0.0000000E+00   0.6972774E-01   0.1472385E+00
  8.564167   0.0000000E+00   0.6588531E-01   0.1826588E+00
  8.763333   0.0000000E+00   0.6191133E-01   0.2228569E+00
  8.962500   0.0000000E+00   0.5782089E-01   0.2668411E+00
  9.161667   0.0000000E+00   0.5360815E-01   0.3135035E+00
  9.360833   0.0000000E+00   0.4926399E-01   0.3609798E+00
  9.560000   0.0000000E+00   0.4478491E-01   0.4068934E+00
  9.759167   0.0000000E+00   0.4014610E-01   0.4475663E+00
  9.958333   0.0000000E+00   0.3531934E-01   0.4781450E+00
 10.157500   0.0000000E+00   0.3026690E-01   0.4919785E+00
 10.356667   0.0000000E+00   0.2492277E-01   0.4804156E+00
 10.555833   0.0000000E+00   0.1923480E-01   0.4328950E+00
 10.755000   0.0000000E+00   0.1307445E-01   0.3341470E+00
 10.954167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.153333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.352500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.551667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.750833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 11.950000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.149167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.348333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.547500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.746667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 12.945833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.145000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.344167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.543333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.742500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 13.941667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.140833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.340000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.539167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.738333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 14.937500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.136667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.335833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.535000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.734167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 15.933333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.132500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.331667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.530833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.730000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 16.929167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.128333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.327500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.526667   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.725833   0.0000000E+00   0.0000000E+00   0.0000000E+00
 17.925000   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.124167   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.323333   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.522500   0.0000000E+00   0.0000000E+00   0.0000000E+00
 18.721667   0.0000000E+00   0.0000000E+00   0.0000000E+00
