# Pre-equilibrium particle emission
# num energy points =  105
# Energy            xs (b)         prob
#  E (MeV)      xs_tot (b)               g               n               p               g               n               p
    9.1000   0.2437868E+00   0.0000000E+00   0.2437781E+00   0.8734323E-05   0.0000000E+00   0.8968921E-01   0.3213474E-05
    9.3000   0.2513020E+00   0.0000000E+00   0.2512899E+00   0.1208949E-04   0.0000000E+00   0.9259366E-01   0.4454655E-05
    9.5000   0.2588574E+00   0.0000000E+00   0.2588408E+00   0.1652136E-04   0.0000000E+00   0.9550244E-01   0.6095755E-05
    9.7000   0.2664740E+00   0.0000000E+00   0.2664517E+00   0.2231054E-04   0.0000000E+00   0.9841352E-01   0.8240364E-05
    9.9000   0.2741497E+00   0.0000000E+00   0.2741199E+00   0.2978635E-04   0.0000000E+00   0.1013251E+00   0.1101016E-04
   10.1000   0.2818990E+00   0.0000000E+00   0.2818597E+00   0.3933780E-04   0.0000000E+00   0.1042354E+00   0.1454764E-04
   10.3000   0.2897221E+00   0.0000000E+00   0.2896707E+00   0.5141593E-04   0.0000000E+00   0.1071431E+00   0.1901767E-04
   10.5000   0.2976074E+00   0.0000000E+00   0.2975408E+00   0.6654148E-04   0.0000000E+00   0.1100467E+00   0.2461064E-04
   10.7000   0.3055479E+00   0.0000000E+00   0.3054626E+00   0.8530949E-04   0.0000000E+00   0.1129451E+00   0.3154326E-04
   10.9000   0.3135283E+00   0.0000000E+00   0.3134199E+00   0.1083908E-03   0.0000000E+00   0.1158372E+00   0.4006027E-04
   11.1000   0.3215195E+00   0.0000000E+00   0.3213830E+00   0.1365254E-03   0.0000000E+00   0.1187221E+00   0.5043387E-04
   11.3000   0.3294972E+00   0.0000000E+00   0.3293266E+00   0.1705251E-03   0.0000000E+00   0.1215990E+00   0.6296390E-04
   11.5000   0.3374364E+00   0.0000000E+00   0.3372251E+00   0.2112759E-03   0.0000000E+00   0.1244671E+00   0.7798025E-04
   11.7000   0.3453458E+00   0.0000000E+00   0.3450861E+00   0.2597574E-03   0.0000000E+00   0.1273256E+00   0.9584208E-04
   11.9000   0.3531734E+00   0.0000000E+00   0.3528565E+00   0.3169365E-03   0.0000000E+00   0.1301740E+00   0.1169226E-03
   12.1000   0.3608909E+00   0.0000000E+00   0.3605070E+00   0.3838386E-03   0.0000000E+00   0.1330115E+00   0.1416199E-03
   12.3000   0.3684710E+00   0.0000000E+00   0.3680095E+00   0.4615157E-03   0.0000000E+00   0.1358377E+00   0.1703522E-03
   12.5000   0.3760195E+00   0.0000000E+00   0.3754683E+00   0.5512109E-03   0.0000000E+00   0.1386518E+00   0.2035495E-03
   12.7000   0.3834417E+00   0.0000000E+00   0.3827878E+00   0.6538890E-03   0.0000000E+00   0.1414533E+00   0.2416345E-03
