# n+239Pu
# Incident Energy =   18.10000
# Particle spectrum from Pre-equilibrium emission from 240P
# num energy points =  138
#  E (MeV)               g               n               p
  0.000000   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.199167   0.0000000E+00   0.1685508E-01   0.1329981E-11
  0.398333   0.0000000E+00   0.3111642E-01   0.1247863E-11
  0.597500   0.0000000E+00   0.4022463E-01   0.1171247E-11
  0.796667   0.0000000E+00   0.5153531E-01   0.1099766E-11
  0.995833   0.0000000E+00   0.6765123E-01   0.1033078E-11
  1.195000   0.0000000E+00   0.8298832E-01   0.9708583E-12
  1.394167   0.0000000E+00   0.9250441E-01   0.9128063E-12
  1.593333   0.0000000E+00   0.9702806E-01   0.8586387E-12
  1.792500   0.0000000E+00   0.9827084E-01   0.8080906E-12
  1.991667   0.0000000E+00   0.9738465E-01   0.7608224E-12
  2.190833   0.0000000E+00   0.9549622E-01   0.7167149E-12
  2.390000   0.0000000E+00   0.9336556E-01   0.6986448E-12
  2.589167   0.0000000E+00   0.9144968E-01   0.9772947E-12
  2.788333   0.0000000E+00   0.8978576E-01   0.3259988E-11
  2.987500   0.0000000E+00   0.8826611E-01   0.1667535E-10
  3.186667   0.0000000E+00   0.8683127E-01   0.8228711E-10
  3.385833   0.0000000E+00   0.8544994E-01   0.3570299E-09
  3.585000   0.0000000E+00   0.8413015E-01   0.1356605E-08
  3.784167   0.0000000E+00   0.8288478E-01   0.4585927E-08
  3.983333   0.0000000E+00   0.8174239E-01   0.1400388E-07
  4.182500   0.0000000E+00   0.8073730E-01   0.3912330E-07
  4.381667   0.0000000E+00   0.7988765E-01   0.1012346E-06
  4.580833   0.0000000E+00   0.7919059E-01   0.2438506E-06
  4.780000   0.0000000E+00   0.7865046E-01   0.5498587E-06
  4.979167   0.0000000E+00   0.7829123E-01   0.1171805E-05
  5.178333   0.0000000E+00   0.7810860E-01   0.2369099E-05
  5.377500   0.0000000E+00   0.7807507E-01   0.4728654E-05
  5.576667   0.0000000E+00   0.7817320E-01   0.4334716E-04
  5.775833   0.0000000E+00   0.7836674E-01   0.6470826E-04
  5.975000   0.0000000E+00   0.7859153E-01   0.9340537E-04
  6.174167   0.0000000E+00   0.7878629E-01   0.1428369E-03
  6.373333   0.0000000E+00   0.7889178E-01   0.2114696E-03
  6.572500   0.0000000E+00   0.7884768E-01   0.3233036E-03
  6.771667   0.0000000E+00   0.7863051E-01   0.4435290E-03
  6.970833   0.0000000E+00   0.7821169E-01   0.6598514E-03
  7.170000   0.0000000E+00   0.7758592E-01   0.9661885E-03
  7.369167   0.0000000E+00   0.7681702E-01   0.1384274E-02
  7.568333   0.0000000E+00   0.7588158E-01   0.1923287E-02
  7.767500   0.0000000E+00   0.7482387E-01   0.2631338E-02
  7.966667   0.0000000E+00   0.7367818E-01   0.3542852E-02
  8.165833   0.0000000E+00   0.7243942E-01   0.4676663E-02
  8.365000   0.0000000E+00   0.7116248E-01   0.6103034E-02
  8.564167   0.0000000E+00   0.6984835E-01   0.7866422E-02
  8.763333   0.0000000E+00   0.6850424E-01   0.1002044E-01
  8.962500   0.0000000E+00   0.6715537E-01   0.1260029E-01
  9.161667   0.0000000E+00   0.6580167E-01   0.1565729E-01
  9.360833   0.0000000E+00   0.6445038E-01   0.1923728E-01
  9.560000   0.0000000E+00   0.6311802E-01   0.2339895E-01
  9.759167   0.0000000E+00   0.6180091E-01   0.2818272E-01
  9.958333   0.0000000E+00   0.6049938E-01   0.3362761E-01
 10.157500   0.0000000E+00   0.5921435E-01   0.3974807E-01
 10.356667   0.0000000E+00   0.5794183E-01   0.4655206E-01
 10.555833   0.0000000E+00   0.5667786E-01   0.5406228E-01
 10.755000   0.0000000E+00   0.5541906E-01   0.6227517E-01
 10.954167   0.0000000E+00   0.5415994E-01   0.7103024E-01
 11.153333   0.0000000E+00   0.5289471E-01   0.8034550E-01
 11.352500   0.0000000E+00   0.5161879E-01   0.9015809E-01
 11.551667   0.0000000E+00   0.5032939E-01   0.1003409E+00
 11.750833   0.0000000E+00   0.4902571E-01   0.1106277E+00
 11.950000   0.0000000E+00   0.4770134E-01   0.1209968E+00
 12.149167   0.0000000E+00   0.4635341E-01   0.1313220E+00
 12.348333   0.0000000E+00   0.4498287E-01   0.1414264E+00
 12.547500   0.0000000E+00   0.4359847E-01   0.1509878E+00
 12.746667   0.0000000E+00   0.4219065E-01   0.1599726E+00
 12.945833   0.0000000E+00   0.4075830E-01   0.1682413E+00
 13.145000   0.0000000E+00   0.3930074E-01   0.1756687E+00
 13.344167   0.0000000E+00   0.3783734E-01   0.1820884E+00
 13.543333   0.0000000E+00   0.3635672E-01   0.1874088E+00
 13.742500   0.0000000E+00   0.3485629E-01   0.1915418E+00
 13.941667   0.0000000E+00   0.3333533E-01   0.1944120E+00
 14.140833   0.0000000E+00   0.3179673E-01   0.1960198E+00
 14.340000   0.0000000E+00   0.3024806E-01   0.1964570E+00
 14.539167   0.0000000E+00   0.2867976E-01   0.1955414E+00
 14.738333   0.0000000E+00   0.2709002E-01   0.1932317E+00
 14.937500   0.0000000E+00   0.2547675E-01   0.1894971E+00
 15.136667   0.0000000E+00   0.2383889E-01   0.1844024E+00
 15.335833   0.0000000E+00   0.2217545E-01   0.1780670E+00
 15.535000   0.0000000E+00   0.2048014E-01   0.1702722E+00
 15.734167   0.0000000E+00   0.1874803E-01   0.1609645E+00
 15.933333   0.0000000E+00   0.1697345E-01   0.1500862E+00
 16.132500   0.0000000E+00   0.1514931E-01   0.1375691E+00
 16.331667   0.0000000E+00   0.1326461E-01   0.1234794E+00
 16.530833   0.0000000E+00   0.1130859E-01   0.1075275E+00
 16.730000   0.0000000E+00   0.9262618E-02   0.8950909E-01
